Parameter,Cell Status,Comment
Test Preparation,,
Initial Condition,Cell 1 is active,Clean up the UE memory to be free from previously stored cell information for proximity detection.Turn on the UE and allow sufficient time for the UE to select to Cell 1.
Time duration T1,Cell 1 and Cell 2 are active,Turn on Cell 2 at the start of T1. Perform manual CSG selection towards Cell 2. The UE is expected to store necessary information for later  proximity detection.
End condition,,Turn off the UE. Turn off Cell 1 and Cell 2.
Negative Test,,
Initial Condition,Cell 3 is active,Turn on Cell 3.Turn on the UE and set up the UE in connected mode with Cell 3..
Time duration T2,Cell 3 is active,Configure the UE with proximity indication control by sending the Reconfiguration message with ReportProximityConfig at the start of T2. The UE is not expected to report “entering” proximity in the negative test.
End condition,,Turn off the UE. Turn off Cell 3.
Positive Test,,
Initial Condition,Cell 1 is active,Turn on Cell 1.Turn on the UE and set up the UE in connected mode with Cell 1.
Time duration T3,Cell 1 and Cell 2 are active,Turn on Cell 2 at the start of T3.Configure the UE with proximity indication control by sending the Reconfiguration message with reportProximityConfig at the start of T3. The UE is expected to report “entering” proximity before end of T3.
End condition,,Turn off the UE. Turn off Cell 1 and Cell 2.
