Parameter,Unit,Cell 1,,Cell 2,
,,T1,T2,T1,T2
Frame Structure,,TDD,,FS3,
E-UTRA RF Channel Number,,1,,2,
BWchannel,MHz,"5 MHz: NRB,c = 2510 MHz: NRB,c = 5020 MHz:NRB,c = 100",,"20 MHz:NRB,c = 100",
Special subframe configuration,,6,,-,
Uplink-downlink configuration,,1,,-,
LBT model,,-,,A.3.17,
Correlation Matrix and Antenna Configuration,,1x2 Low,,1x2 Low,
Measurement bandwidth,,5MHz: 10-1510MHz: 22-2720MHz: 47-52,,47-52,
PDSCH Reference measurement channel defined in A.3.1.1.2 and A.3.1.1.6,,5MHz: R.4 TDD10MHz: R.0 TDD20MHz: R.3 TDD,,-,
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.2 and A.3.1.2.4,,5MHz: R.11 TDD 10MHz: R.6 TDD20MHz: R.10 TDD,,R.0 FS3,
"OCNG Patterns defined in A.3.2.2.1 (OP.1 TDD) , A.3.2.2.9 (OP.9 TDD) and A.3.2.2.7 (OP.7 TDD)",,5MHz: OP.10 TDD10MHz: OP.2 TDD20MHz: OP.8 TDD,,OP.14 FDD,
PBCH_RA,dB,0,,0,
PBCH_RB,dB,,,,
PSS_RA,dB,,,,
SSS_RA,dB,,,,
PCFICH_RB,dB,,,,
PHICH_RA,dB,,,,
PHICH_RB,dB,,,,
PDCCH_RA,dB,,,,
PDCCH_RB,dB,,,,
PDSCH_RA,dB,,,,
PDSCH_RB,dB,,,,
OCNG_RANote 1,dB,,,,
OCNG_RBNote 1,dB,,,,
Note 3,dBm/15 kHz,-98,,-98,
RSRP Note 4,dBm/15 kHz,-94,-94,-inf,-91
,dB,4,4,-inf,7
SCH_RP Note 4,dBm/15 kHz,-94,-94,-inf,-91
,dB,4,4,-inf,7
Io,dBm/Ch BW,"-64.76+10log(NRB,c /50)","-64.76+10log(NRB,c /50)",-70.22,-62.43
Propagation Condition,,ETU30,,ETU30,
"Note 1:OCNG shall be used such that cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. For cells with LBT model, OCNG is transmitted only in subframes with downlink transmission bursts, and is not transmitted during muted subframes or during DMTC windows.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:Es/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 5:Void",,,,,
