Parameter,Unit,Value,Comment
Reference cell,,Cell 1,"Reference cell is the cell with respect to which the RSTD measurement is defined, as specified in TS 36.214 [4]. The reference cell is the PCell on RF channel 1 in this test case."
Neighbor cells,,Cell 2 and Cell 3,"Cells on RF channel 2. The cells appear at random places in the neighbour cell list in the OTDOA assistance data, but Cell 2 always appears in the first half of the list, whilst Cell 3 appears in the second half of the list."
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Channel Bandwidth (BWchannel),MHz,10,
PRS Bandwidth,RB,50,"PRS bandwidth is as indicated in prs-Bandwidth in the OTDOA assistance data defined in [24]. Here, PRS are transmitted over the system bandwidth"
Gap pattern Id,,0,As specified in Table 8.1.2.1-1. Applies for measurements on Cell 2 and Cell 3
Gap offset,,12,"As specified in TS 36.331 [2], Clause 6.3.5"
PRS configuration index,,"Cell 1: 184,Cell 2, Cell 3: 174","This corresponds to periodicity of 320 ms and PRS subframe offset of  DL subframes, as defined in TS 36.211 [16], Table 6.10.4.3-1"
Number of consecutive downlink positioning subframes,,1,As defined in TS 36.211 [16]. The number of subframes in a positioning occasion
Physical cell ID PCI,,(PCI of Cell 1 – PCI of Cell 2)mod6=0and(PCI of Cell 1 – PCI of Cell 3)mod6=0,The cell PCIs are selected such that the relative shifts of PRS patterns among cells are as given by the test parameters
TDD uplink-downlink configuration,,1,"As specified in TS 36.211 [16], Clause 4.2; corresponds to a configuration with 5 ms switch-point periodicity and two downlink consecutive subframes"
TDD special subframe configuration,,6,"As specified in TS 36.211 [16], Clause 4.2; corresponds to DwPTS of  and UpPTS of"
CP length,,Normal,The same CP length for DL and UL
DRX,,ON,DRX parameters are further specified in Table A.8.13.2.1-3.
prs-SubframeOffset,,310,Number of subframes rounded to the closest integer. The corresponding parameter in the OTDOA assistance data is prs-SubframeOffset specified in TS 36.355 [24]
slotNumberOffset,,0,The slot number offset at the transmitter between a neighbour cell and the assistance data reference cell specified in TS 36.355 [24]
Radio frame receivetime offset between the cells at the UE antenna connecto,s,Cell 2 to Cell 1: 1Cell 3 to Cell 1: -1,PRS are transmitted from synchronous cells
Expected RSTD,s,Cell 2: -2 Cell 3: 2Other neighbour cells: randomly between -3 and 3,The expected RSTD is what is expected at the receiver. The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD indicator
Expected RSTD uncertainty for all neighbour cells,s,5,The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD-Uncertainty index
Number of cells provided in OTDOA assistance data,,16,"The list includes the reference cell (received in OTDOA-ReferenceCellInfo [24]) on RF channel 1 and 15 other cells on RF channel 2, all received in OTDOA-ProvideAssistanceData [24]."
PRS muting info,,Cell 1: ‘1111111100000000’Cell 2: ‘0000000011111111’Cell 3: ‘1111111100000000’,Correponds to prs-MutingInfo defined in TS 36.355 [24]
T1,s,3,The length of the time interval from the beginning of each test
T2,s,2.48,The length of the time interval that follows immediately after time interval T1
T3,s,2.48,The length of the time interval that follows immediately after time interval T2
