Parameter,Unit,Cell 1,,,Cell 2,,
,,T1,T2,T4,T1,T2,T4
E-UTRA RF Channel Number,,1,,,2,,
Duplex Mode,,FDD or TDD,,,FDD or TDD,,
TDD special subframe configuration,,6,,,6,,
TDD uplink-downlink configuration,,1,,,1,,
BWchannel,MHz,"5MHz, NRB,c = 2510MHz, NRB,c = 5020MHz, NRB,c = 100",,,"5MHz, NRB,c = 2510MHz, NRB,c = 5020MHz, NRB,c = 100",,
Correlation Matrix and Antenna Configuration,,1x2 Low,,,1x2 Low,,
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD) and in A.3.2.1.2 (OP.2  FDD),,5MHz: OP.15 FDD10MHz: OP.1 FDD20MHz: OP.11 FDD5MHz: OP.9 TDD10MHz: OP.1 TDD20MHz: OP.7 TDD,,,5MHz: OP.16 FDD10MHz: OP.2 FDD20MHz: OP.12 FDD5MHz: OP.10 TDD10MHz: OP.2 TDD20MHz: OP.8 TDD,,
PBCH_RA,dB,0,,,0,,
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
PCFICH_RB,dB,,,,,,
PHICH_RA,dB,,,,,,
PHICH_RB,dB,,,,,,
PDCCH_RA,dB,,,,,,
PDCCH_RB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote 1,dB,,,,,,
OCNG_RBNote 1,dB,,,,,,
Note 3,dBm/15 kHz,-98,,,,,
RSRP Note 4,dBm/15 kHz,-94,,,-98,,
,dB,4,,,0,,
SCH_RP Note 4,dBm/15 kHz,-94,,,-98,,
,dB,4,,,0,,
Propagation Condition,,AWGN,,,,,
"Note 1:OCNG shall be used such that both cells are fully allocated, and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2: The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 3: Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4: RSRP and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,,
