Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,"1, 2",Two radio channels are used for this test
Active PCell,,Cell 1,Primary cell on RF channel number 1.
Deconfigured deactivated SCell,,Cell 2,Deconfigured deactivated secondary cell on RF channel number 2.
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
CQI/PMI periodicity and offset configuration index,,0,CQI reporting for SCell every second subframe
Cell-individual offset for cells on RF channel number 1,dB,0,Individual offset for cells on PCC.
Cell-individual offset for cells on RF channel number 2,dB,0,Individual offset for cells on SCC.
,,,
SCell measurement cycle (measCycleSCell),ms,320,
TimeAlignmentTimer,ms,1280,Cell 1 in pTAG.
TimeAlignmentTimerSTAG,ms,1280,Cell 2 in sTAG.
T1,s,7,During this time the PCell and SCell shall be known.
T2,s,1,During this time the UE shall activate the SCell.
T3,s,1,During this time the UE shall deactivate the SCell.
