Parameter,Unit,Cell 1,,Cell 2,
,,T1,T2,T1,T2
E-UTRA RF Channel Number,,1,,1,
BWchannel,MHz,10,,10,
Correlation Matrix and Antenna Configuration,,1x2 Low,,1x2 Low,
OCNG Pattern defined in A.3.2.2.1 (OP.1 TDD) and in A.3.2.2.2 (OP.2),,OP.1 TDD,,OP.2 TDD,
PBCH_RA,dB,Non-ABS and ABS subframe channel powers defined in Table A.3.4.1.1-1.,,0,
PBCH_RB,dB,,,,
PSS_RA,dB,,,,
SSS_RA,dB,,,,
PCFICH_RB,dB,,,,
PHICH_RA,dB,,,,
PHICH_RB,dB,,,,
PDCCH_RA,dB,,,,
PDCCH_RB,dB,,,,
PDSCH_RA,dB,,,,
PDSCH_RB,dB,,,,
OCNG_RANote 1,dB,,,,
OCNG_RBNote 1,dB,,,,
Note 3,dBm/15 kHz,-98,,,
Note 5,dB,1,1,-Infinity,-4
()ABS,dB,1,1,N/A,N/A
"RSRP Note 4,5",dBm/15 kHz,-97,-97,-Infinity,-102
SCH_RP Note 4,dBm/15 kHz,-97,-97,-Infinity,-102
CRS,dB,1,-0.5,-Infinity,-4
SCH,dB,1,-0.5,-Infinity,-7.5
Propagation Condition,,ETU30,,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled. Applies to all subframes.Note 4:RSRP and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 5:RSPP is estimated for Cell 2 during the restricted measurement subframes for neighbour cells. RSPP is estimated for Cell 1 during the PCell restricted subframes.,,,,,
