Parameter,Unit,Cell1,,Cell2,,Cell3,
,,T1,T2,T1,T2,T1,T2
E-UTRA RF Channel Number,,1,,2,,2,
Special subframe configuration,,6,,-,,-,
Uplink-downlink configuration,,1,,-,,-,
BWchannel,MHz,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,20,,20,
Measurement bandwidth,,5MHz: 10-1510MHz: 22-2720MHz: 47-52,,38-62,,38-62,
PDSCH parameters:DL Reference Measurement Channel,,5MHz: R.4 TDD 10MHz: R.0 TDD20MHz: R.3 TDD,,R.0 FS3,,-,
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement Channel,,5MHz: R.11 TDD 10MHz: R.6 TDD20MHz: R.10 TDD,,R.0 FS3,,R.0 FS3,
OCNG Patterns defined in A.3.2.2,,5MHz: OP.15 TDD 10MHz: OP.1 TDD20MHz: OP.11 TDD,,OP.13 FDD,,OP.14 FDD,
PBCH_RA,dB,0,,0,,0,
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
PCFICH_RB,dB,,,,,,
PHICH_RA,dB,,,,,,
PHICH_RB,dB,,,,,,
PDCCH_RA,dB,,,,,,
PDCCH_RB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote 1,dB,,,,,,
OCNG_RBNote 1,dB,,,,,,
Note 2,dBm/15 kHz,-104,,-104,,,
,dB,4,4,4,4,-infinity,4
,dB,4,4,4,-1.46,-infinity,-1.46
RSRP Note 3,dBm/15 kHz,-100,-100,-100,-100,-infinity,-100
SCH_RP Note 3,dBm/15 kHz,-100,-100,-100,-100,-infinity,-100
Io Note 3,dBm/Ch BW,"-70.76+10log(NRB,c /50)","-70.76+10log(NRB,c /50)",-67.76,-65.42,Specified in columns for Cell 2,
Propagation Condition,,ETU30,,ETU30,,ETU30,
Correlation Matrix and Antenna Configuration,,1x2 Low,,1x2 Low,,1x2 Low,
Timing offset to Cell 1,s,-,-,0,0,-,3
Time alignment error relative to cell 1Note 5,s,-,-,≤ TAE,≤ TAE,N/A,N/A
"Note 1:OCNG shall be used such that cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. For cells with LBT model, OCNG is transmitted only in subframes with downlink transmission bursts, and is not transmitted during muted subframes or during DMTC windows.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:RSRP, SCH_RP, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 5:Time alignment error (TAE) as specified in TS 36.104 [30] clause 6.5.3.1.",,,,,,,
