Parameter,Unit,Cell 1,,Cell 3,,
,,T1,T2,T1,T2,
E-UTRA RF Channel Number,,1,,2,,
BWchannel,MHz,10,,10,,
Correlation Matrix and Antenna Configuration,,1x2 Low,,1x2 Low,,
OCNG Pattern defined in A.3.2.2.1 (OP.1 TDD),,OP.1 TDD,,OP.1 TDD,,
PBCH_RA,dB,0,0,0,0,
PBCH_RB,dB,,,,,
PSS_RA,dB,,,,,
SSS_RA,dB,,,,,
PCFICH_RB,dB,,,,,
PHICH_RA,dB,,,,,
PHICH_RB,dB,,,,,
PDCCH_RA,dB,,,,,
PDCCH_RB,dB,,,,,
PDSCH_RA,dB,,,,,
PDSCH_RB,dB,,,,,
OCNG_RANote1,dB,,,,,
OCNG_RBNote1,dB,,,,,
,dB,9,9,9,,9
,dB,9,9,9,,9
,dBm/15kHz,-98,,,,
RSRP,dBm/15kHz,-89,-89,-89,,-89
SCH_RP,dBm/15kHz,-89,-89,-89,,-89
Propagation Condition,,ETU70,,,,
Note 1:OCNG shall be used such that cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.,,,,,,
