Parameter,Unit,Cell 1,Cell 2,Cell 3
E-UTRA RF Channel Number,,1,1,1
Correlation Matrix and Antenna Configuration,,1x1,1x1,1x1
OCNG patterns defined in A.3.2.1,,OP.21 FDD,N/A,N/A
PBCH_RA,dB,0,N/A,N/A
PBCH_RB,,,,
PSS_RA,,,,
SSS_RA,,,,
PCFICH_RB,,,,
PHICH_RA,,,,
PHICH_RB,,,,
PDCCH_RA,,,,
PDCCH_RB,,,,
OCNG_RANote 1,,,,
OCNG_RBNote 1,,,,
Note 3,dBm/15 kHz,-95,,
PRS,dB,-Infinity,-Infinity,-Infinity
Io Note 4,dBm/9 MHz,-67.22,-67.22,-67.22
,dB,0,-Infinity,-Infinity
Propagation Condition,,ETU30,,
Note 1: OCNG shall be used such that active cell (Cell 1) is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 3:Interference from other cells and noise sources not specified in the test are assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:Io levels have been derived from other parameters and are given for information purpose. These are not settable test parameters.,,,,
