Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,"1, 2",Two radio channels are used for this test
Active PCell,,,Cell 1,Primary cell on RF channel number 1.
Configured deactivated  SCell,,,Cell 2,Configured deactivated secondary cell on RF channel number 2 for frame structure 3.
Neighbour  cell,,,Cell 3,Neighbor cell to be identified on RF channel number 2 for frame structure 3.
CP length,,,Normal,
DRX,,,OFF,Continuous monitoring of primary cell
A6,Hysteresis,dB,0,Hysteresis for evaluation of event A6.
,Offset,dB,-3,Offset parameter for evaluation of event A6. Needs to take relative accuracy tolerance in clause 9.1.18.2 into account plus margin.
,Report on leave,,False,
,Time To Trigger,s,0,
Discovery signal occasion duration,,ms,1,As specified in IE MeasDS-Config in TS 36.331
Filter coefficient,,,0,L3 filtering is not used
SCell measurement cycle,,ms,160,measCycleSCell as specified in TS 36.331
DMTC period,,ms,40,As specified in IE MeasDS-Config in TS 36.331
dmtc-PeriodOffset,,,10,As specified in IE MeasDS-Config in TS 36.331
subframeStartPosition,,,s0,Discovery signal starts from subframe #0
laa-SCellSubframeConfig,,,00000000,No MBSFN subframe.
T1,,s,5,During this time the UE shall be aware of cells 1 and 2 but not cell 3.
T2,,s,≤5,UE should report Event A6 within 4 s (25×scellMeasCycle)
