Parameter,Unit,Value,Comment
PDSCH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.0 TDD,As specified in section A.3.1.1.2.
PCFICH/PDCCH/PHICH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.6 TDD,As specified in section A.3.1.2.2.
Gap Pattern Id,,0,As specified in 3GPP TS 36.133 section 8.1.2.1.
Active cell,,Cell 1,Cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,Cell 2,Cell 2 is on UTRA RF channel number 1.
Time offset between cells,ms,3,Asynchronous cells
E-UTRA RF Channel Number,,1,One E-UTRA TDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),MHz,10,
CP length,,Normal,Applicable to cell 1
Uplink-downlink configuration of cell 1,,1,As specified in table 4.2.2 in TS 36.211
Special subframe configuration of cell 1,,6,As specified in table 4.2.1 in TS 36.211
UTRA RF Channel Number,,1,One UTRA TDD carrier frequency is used.
Inter-RAT (UTRA TDD) measurement quantity,,P-CCPCH RSCP,
Thresh,dBm,-83,Absolute P-CCPCH RSCP threshold for event B1
Hysteresis,dB,0,
Time To Trigger,ms,0,
Filter coefficient,,0,L3 filtering is not used.
DRX,,OFF,
Monitored UTRA TDD cell list size,,12,UTRA cells on UTRA RF channel 1 provided in the cell list
T1,s,5,
T2,s,2,
