Parameter,Unit,Cell 1,,Cell 2,,Cell 3,
,,T1,T2,T1,T2,T1,T2
E-UTRA RF Channel Number,,1,,1,,1,
BWchannel,MHz,10,,10,,10,
Correlation Matrix and Antenna Configuration,,1x2 Low,,1x2 Low,,1x2 Low,
OCNG Patterns defined in A.3.2.1.5 (OP.5 FDD) and in A.3.2.1.6 (OP.6  FDD),,OP.5 FDD,,OP.6 FDD,,N/A,OP.6 FDD
PBCH_RA,dB,Non-ABS and ABS subframe channel powers defined in Table A.3.4.1.1-1.,,Non-ABS and ABS subframe channel powers defined in Table A.3.4.1.1-1.,,N/A,0
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
PCFICH_RB,dB,,,,,,
PHICH_RA,dB,,,,,,
PHICH_RB,dB,,,,,,
PDCCH_RA,dB,,,,,,
PDCCH_RB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote 1,dB,,,,,,
OCNG_RBNote 1,dB,,,,,,
Note 3,dBm/15 kHz,-98,,,,,
,dB,4,4,2,2,-Infinity,-4
RSRP Note 4,dBm/15 kHz,-94,-94,-96,-96,-Infinity,-102
SCH_RP Note 4,dBm/15 kHz,-94,-94,-96,-96,-Infinity,-102
CRSNote 5,dB,4,2.54,2,0.54,-Infinity,-9.46
SCH,dB,-0.12,-0.75,-3.45,-3.92,-Infinity,-11.07
Propagation Condition,,ETU30,,ETU30,,ETU30,
"NOTE 1:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled. Applies to all subframes.NOTE 4:RSRP, SCH_RP, and  levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 5:Applies during the restricted measurement subframes configured for neighbour cell (Cell 3) measurements.",,,,,,,
