Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
E-UTRA RF Channel Number,,"1, 2",Two FDD carrier frequencies are used.
E-UTRA RF Channel Number for Scell,,3,One FDD carrier frequencies is used
Channel Bandwidth (BWchannel),MHz,10,
Active cell,,Cell 1,Cell 1 is on RF channel number 1
Neighbour cell,,Cell 2,Cell 2 is on RF channel number 2
Configured active Scell,,Cell 3,Cell 3 is on RF channel number 3
Gap Pattern Id,,0,As specified in TS 36.133 clause 8.1.2.1.
A3-Offset,dB,-6,
Hysteresis,dB,0,
CP length,,Normal,
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,OFF
Cell2 timing offset to cell1,ms,3,Asynchronous cells
Cell3 timing offset to cell1,s,0,Synchronous cells
Time alignment error between cell3 and cell1,s,Time alignment error as specified in 3GPP TS 36.104 [30] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
T1,s,5,
T2,s,5,
