Parameter,,Unit,Value,,Comments
,,,Test 1,Test 2,
E-UTRA RF Channel Number,,,1,,One radio channel is used for both tests.
Active cell,,,Cell 1,,
Neighbour cell,,,Cell 2,,Cell to be identified.
CP length,,,Normal,,
DRX,,,ON,,DRX related parameters are defined in Table A.8.1.30.1-3
A3,Offset,dB,-6,,
,Hysteresis,dB,0,,
,Time To Trigger,s,0,,
Special subframe configuration,,,6,,As specified in table 4.2-1 in TS 36.211. The same configuration in both cells
Uplink-downlink configuration,,,1,,As specified in table 4.2-2 in TS 36.211. The same configuration in both cells
Filter coefficient,,,0,,L3 filtering is not used
Gap Pattern Id,,,0,,
T1,,s,5,,
T2,,s,5,30,
