Parameter,Unit,Value,,,Comment
,,Test 1,Test 2,,
PCell,,Cell 1,,,PCell is on RF channel 1 (PCC).
SCell,,Cell 2,,,SCell on RF channel 2 (SCC).Cell 2 is the assistance data reference cell.
Other neighbor cell,,Cell 3,,,Neighbor cell on RF channel 2 (SCC).
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 FDD,,,As specified in clause A.3.1.2.1
Channel Bandwidth (BWchannel),MHz,10,,,
PRS Transmission Bandwidth,RB,50,,,PRS are transmitted over the system bandwidth
PRS configuration index,,171 for all cells on PCC181 for all cells on SCC,,,"This corresponds to periodicity of 320 ms and PRS subframe offset of  DL subframes, as defined in TS 36.211 [16], Table 6.10.4.3-1"
Number of consecutive downlink positioning subframes,,1,,,As defined in TS 36.211 [16]. The number of subframes in a positioning occasion
Physical cell ID PCI,,(PCI of Cell 2 – PCI of Cell 3)mod6=0,,,The PCI of Cell 1 is selected randomly. PCIs of Cell 2 and Cell 3 are selected randomly such that the relative subcarrier shifts of PRS patterns among these cells are as given by the condition
CP length,,Normal,,,
DRX,,ON,,,DRX parameters are further specified in Table A.8.17.1.1-3
Radio frame receive time offset between  the cells at the UE antenna connector,s,Cell 1 to Cell 2: 1Cell 3 to Cell 2: -1,,,PRS are transmitted from synchronous cells
Time alignment error between cell2 and cell1,s,Time alignment error as specified in 3GPP TS 36.104 [30] clause 6.5.3.1.,,,The value of time alignment error depends upon the type of carrier aggregation.
Expected RSTD,s,Cell 3: 2Other neighbour cells: randomly between -3 and 3,,Cell 1: -2Cell 3: 2Other neighbour cells: randomly between -3 and 3,The expected RSTD is what is expected at the receiver. The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD indicator
Expected RSTD uncertainty for all neighbour cells,s,5,,,The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD-Uncertainty index
Cells in OTDOA assistance data,,16 cells in total,,,"The list includes the reference cell (received in OTDOA-ReferenceCellInfo [24]) and 15 other cells, all received in OTDOA-ProvideAssistanceData [24].Cell 1 (when included) appears at random places in the first half of the neighbour cell list in the OTDOA assistance data. Cell 3 always appears at random places in the second half of the list."
,,OTDOA neighbor cells include Cell 3 and other 14 cells on SCC,"OTDOA neighbor cells include Cell 1 and other 7 cells on PCC, and Cell 3 and other 6 cells on SCC",,
prs-SubframeOffset,,"Cells on PCC: 310Cells on SCC, except reference cell: 0",,,"Subframe offset, counted in full  subframes. The corresponding parameter in the OTDOA assistance data is prs-SubframeOffset specified in TS 36.355 [24]"
slotNumberOffset,,"Cells on PCC: 0Cells on SCC, except reference cell: 0",,,The slot number offset at the transmitter between a neighbour cell and the assistance data reference cell. The corresponding parameter in the OTDOA assistance data is slotNumberOffset specified in TS 36.355 [24].
PRS muting info,,Cell 1: ‘11110000’Cell 2: ‘00001111’Cell 3: ‘11110000’,Cell 1: ‘1111111100000000’Cell 2: ‘0000000011111111’Cell 3: ‘1111111100000000’,,Correponds to prs-MutingInfo defined in TS 36.355 [24]
T1,s,3,,,The length of the time interval from the beginning of each test
T2,s,1.28,2.48,,The length of the time interval that follows immediately after time interval T1
T3,s,1.28,2.48,,The length of the time interval that follows immediately after time interval T2
