Parameter,Unit,Cell 1,
,,T1,T2
E-UTRA RF Channel Number,,1,
BWchannel,MHz,10,
OCNG Pattern defined in A.3.2.1.10 (OP.10 FDD),,OP.10 FDD,
PBCH_RA,dB,0,
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PCFICH_RB,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote 1,dB,,
OCNG_RBNote 1,dB,,
,dB,4,4
,dB,4,4
,dBm/15 kHz,-98,
RSRP,dBm/15 kHz,-94,-94
SCH_RP,dBm/15 kHz,-94,-94
Propagation Condition,,AWGN,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.,,,
