Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
Active cell,,Cell 1,
Neighbour cell,,Cell 2,Cell to be identified.
E-UTRA RF Channel Number,,1,One FDD carrier frequency is used.
Channel Bandwidth (BWchannel),MHz,10,
A3-Offset,dB,-6,
CP length,,Normal,
Hysteresis,dB,0,
Time To Trigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,DRX_L,As specified in clause A.3.3
Time offset between cells,,3 s,Synchronous cells
T1,s,5,
T2,s,5,
