Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,"1, 2",Two radio channels are used for this test
Active PCell,,,Cell 1,Primary cell on RF channel number 1.
Configured deactivated SCell,,,Cell 2,Configured deactivated secondary cell on RF channel number 2.
Neighbour cell,,,Cell 3,Neighbor cell to be identified on RF channel number 2.
CP length,,,Normal,
Special subframe configuration,,,6,As specified in table 4.2-1 in TS 36.211. The same configuration in TDD cells
Uplink-downlink configuration,,,1,As specified in table 4.2-2 in TS 36.211. The same configuration in TDD cells
DRX,,,OFF,Continuous monitoring of primary cell
A2,Hysteresis,dB,0,Hysteresis for evaluation of event A2.
,Threshold RSRP,dBm,-98,Actual RSRP threshold for event A2. Needs to take absolute accuracy tolerance in clause 9.1.11.1 into account plus margin.
,Time To Trigger,s,0,
A6,Hysteresis,dB,0,Hysteresis for evaluation of event A6.
,Offset,dB,-6,Offset parameter for evaluation of event A6. Needs to take relative accuracy tolerance in clause 9.1.11.2 into account plus margin.
,Report on leave,,False,
,Time To Trigger,s,0,
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on secondary component carrier.
Filter coefficient,,,0,L3 filtering is not used
SCell measurement cycle (measCycleSCell),,ms,320,
T1,,s,5,During this time the UE shall be aware of cells 1 and 2 but not cell 3.
T2,,s,≤12,UE shall report Event A6 within 6.4s (20×scellMeasCycle)
T3,,s,5,"UE shall report Event A2 within 200 ms and 1.6s for cells 1 and 2, respectively."
