Parameter,Unit,Value,Comment
,,Test 1,
Active cell,,Cell 1,
Neighbour cell,,Cell 2,Cell to be identified.
E-UTRA RF Channel Number,,1,One TDD carrier frequency is used.
DMTC period [2],ms,160,
DMTC period offset [2],ms,10,
Discovery signal occasion duratuion,ms,2,
c2-Offset,dB,-6,
CP length,,Normal,
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211. The same configuration in both cells
Uplink-downlink configuration,,1,As specified in table 4.2-2 in TS 36.211. The same configuration in both cells
Hysteresis,dB,0,
Time To Trigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,ON,DRX related parameters are defined in Table A.8.22.6.1-3
T1,s,5,
T2,s,10,
