Parameter,Unit,Cell 1,,Cell 2,
,,T1,T2,T1,T2
E-UTRA RF Channel Number,,1,,2,
BWchannel,MHz,10,,10,
Measurement bandwidth,,13-37,,13-37,
PDSCH parameters:DL Reference Measurement Channel,,R.0 FDD,,-,
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement Channel,,R.6 FDD,,R.6 FDD,
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD) and in A.3.2.1.2 (OP.2  FDD),,OP.1 FDD,,OP.2 FDD,
PBCH_RA,dB,0,,0,
PBCH_RB,dB,,,,
PSS_RA,dB,,,,
SSS_RA,dB,,,,
PCFICH_RB,dB,,,,
PHICH_RA,dB,,,,
PHICH_RB,dB,,,,
PDCCH_RA,dB,,,,
PDCCH_RB,dB,,,,
PDSCH_RA,dB,,,,
PDSCH_RB,dB,,,,
OCNG_RANote 1,dB,,,,
OCNG_RBNote 1,dB,,,,
Note 2,dBm/15 kHz,-98,,,
,dB,4,4,-Infinity,7
,dB,4,4,-Infinity,7
RSRP Note 3,dBm/15 kHz,-94,-94,-Infinity,-91
SCH_RP Note 3,dBm/15 kHz,-94,-94,-Infinity,-91
Io Note 3,dBm/9MHz,-64.76,-64.76,-70.22,-62.43
Propagation Condition,,ETU30,,ETU30,
Correlation Matrix and Antenna Configuration,,1x2 Low,,1x2 Low,
Timing offset to Cell 1,s,-,,3,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:Es/Iot, RSRP and SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,
