Parameter,Unit,Value,Comment
,,Test 1,
Active cell,,Cell 1,
Neighbour cell,,Cell 2,Cell to be identified.
E-UTRA RF Channel Number,,1,One FDD carrier frequency is used.
DMTC period [2],ms,160,
DMTC period offset [2],ms,10,
Discovery signal occasion duration,ms,1,
c2-Offset,dB,-6,
CP length,,Normal,
Hysteresis,dB,0,
Time To Trigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,ON,DRX related parameters are defined in Table A.8.22.5.1-3
Time offset between cells,,2.3 s,CP/2 or Synchronous cells
T1,s,5,
T2,s,10,
