Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,"1, 2",Two radio channels are used for this test
Active PCell,,Cell 1,Primary cell on RF channel number 1.
Deconfigured deactivated SCell,,Cell 2,Deconfigured deactivated secondary cell on RF channel number 2.
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
CQI/PMI periodicity and offset configuration index,,0,
Cell-individual offset for cells on RF channel number 1,dB,0,Individual offset for cells on PCC.
Cell-individual offset for cells on RF channel number 2,dB,0,Individual offset for cells on SCC1.
SCell measurement cycle (measCycleSCell),ms,320,
T1,s,7,During this time the PCell shall be known and the SCell1 is configured and detected.
T2,s,1,During this time the UE shall hibernate the SCell1 and report a valid CQI.
T3,s,1,During this time the UE shall activate the SCell1 and report a valid CQI.
T4,s,1,During this time the UE shall hibernate the SCell1 and report a valid CQI.
T5,s,1,During this time the UE shall deactivate the SCell1.
