Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,1,One E-UTRA TDD carrier frequency is used.
E-UTRA RF Channel Number for Scell,,2,One E-UTRA TDD carrier frequency is used.
Active cell,,Cell 1,E-UTRA TDD cell
Neighbour cell,,Cell 2,UTRA 1.28Mcps TDD Cell
Configured active SCell,,Cell 3,E-UTRA TDD cell
Gap Pattern Id,,0,As specified in TS 36.133 clause 8.1.2.1.
Uplink-downlink configuration of cell 1,,1,As specified in table 4.2.2 in TS 36.211
Special subframe configuration of cell 1,,6,As specified in table 4.2.1 in TS 36.211
CP length of cell 1,,normal,
Hysteresis,dB,0,
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,
Time offset between cells,,3 ms,Asynchronous cells
Ofn,dB,0,
Thresh,dBm,-87,
T1,s,5,
T2,s,10,
