Parameter,Unit,Test 1,Test 2,Comment
,,Value,,
PDSCH parameters (E-UTRAN FDD),,DL Reference Measurement Channel R.0 FDD,,As specified in clause A.3.1.1.1 Note that UE may only be allocated at On Duration
PCFICH/PDCCH/PHICH parameters (E-UTRAN FDD),,DL Reference Measurement Channel R.6 FDD,,As specified in clause A.3.1.2.1.
Gap Pattern Id,,0,,As specified in TS 36.133 clause 8.1.2.1.
Active cell,,Cell 1,,Cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,Cell 2,,Cell 2 is on UTRA RF channel number 1.
CP length,,Normal,,Applicable to cell 1
E-UTRA RF Channel Number,,1,,One E-UTRA FDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),MHz,10,,
UTRA RF Channel Number,,1,,One UTRA FDD carrier frequency is used.
Inter-RAT (UTRA FDD) measurement quantity,,CPICH Ec/Io,,
b1-Threshold-UTRA,dB,-18,,CPICH Ec/Io threshold for event B1.
Hysteresis,dB,0,,
TimeToTrigger,s,0,,
Filter coefficient,,0,,L3 filtering is not used
PRACH configuration,,4,,As specified in table 5.7.1-2 in TS 36.211
Access Barring Information,-,Not Sent,,No additional delays in random access procedure.
DRX,,ON,,DRX related parameters are defined in Table A.8.5.3.1-3
Monitored UTRA FDD cell list size,,12,,UTRA cells on UTRA RF channel 1 provided in the cell list.
T1,s,5,,
T2,s,6,30,
