Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
E-UTRA RF Channel Number,,"1, 2",Two FDD carrier frequencies are used.
Channel Bandwidth (BWchannel),MHz,10,
Active cell,,Cell 1,Cell 1 is on RF channel number 1
Neighbour cell,,Cell 2,Cell 2 is on RF channel number 2
Gap Pattern Id,,nonUniform1,As specified in TS 36.133 clause 8.1.2.1.
A4 Hysteresis,dB,0,Hysteresis for evaluation of event A4.
A4 Threshold RSRP,dBm,-99,Actual RSRP threshold for event A4. Needs to take absolute accuracy tolerance in section 9.1.11.1 into account plus margin.
A4 Time To Trigger,s,0,
CP length,,Normal,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,OFF
Time offset between cells,,3 ms,Asynchronous cells
T1,s,5,
T2,s,15,
