Parameter,Unit,Value,Comment
UE configured E-UTRA RF Channel Number,,1,"Serving cell and seven UTRA FDD carrier frequencies are used in the UE neighbour cell list. Frequencies 5,6 and 7 are indicated to have reduced performance"
UE is configured UTRA RF channel numbers,,"2, 3, 4, 5, 6, 7,8",
Test equipment configuration,,"Cell 1 uses E-UTRA RF channel number 1Cells 2,3,4 are randomly selected to use different frequencies selected from UTRA RF channel numbers 2,3,4,5,6,7,8","Cells 2, 3 and 4 are chosen randomly, such that one frequency belongs to the normal performance group and two frequencies belong to the reduced performance group"
PDSCH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2.
PCFICH/PDCCH/PHICH parameters(E-UTRAN TDD),,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Correlation Matrix and Antenna Configuration,,1x2 low,
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211. Applicable to cell 1
Uplink-downlink configuration,,1,As specified in table 4.2-2 in TS 36.211. Applicable to cell 1
Active cell,,Cell 1,Cell 1 is on RF channel number 1
Gap Pattern Id,,0,As specified in TS 36.133 clause 8.1.2.1.
Inter-RAT (UTRA FDD) measurement quantity,,CPICH Ec/Io,
b1-Threshold-UTRA,dB,-18,CPICH Ec/Io threshold for event B1
Hysteresis,dB,0,
CP length,,Normal,
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,OFF
Scaling factor for reduced performance group,,16,
T1,s,5,
T2,s,155,
