i,Sequence number  in increasing order of ui,,,,,,,,,,,,,,,,,,,
0-19,1,570,2,569,3,568,4,567,5,566,6,565,7,564,8,563,9,562,10,561
20-39,11,560,12,559,13,558,14,557,15,556,16,555,17,554,18,553,19,552,20,551
40-59,21,550,22,549,23,548,24,547,25,546,26,545,27,544,28,543,29,542,30,541
60-79,31,540,32,539,33,538,34,537,35,536,36,535,37,534,38,533,39,532,40,531
80-99,41,530,42,529,43,528,44,527,45,526,46,525,47,524,48,523,49,522,50,521
100-119,51,520,52,519,53,518,54,517,55,516,56,515,57,514,58,513,59,512,60,511
120-139,61,510,62,509,63,508,64,507,65,506,66,505,67,504,68,503,69,502,70,501
140-159,71,500,72,499,73,498,74,497,75,496,76,495,77,494,78,493,79,492,80,491
160-179,81,490,82,489,83,488,84,487,85,486,86,485,87,484,88,483,89,482,90,481
180-199,91,480,92,479,93,478,94,477,95,476,96,475,97,474,98,473,99,472,100,471
200-219,101,470,102,469,103,468,104,467,105,466,106,465,107,464,108,463,109,462,110,461
220-239,111,460,112,459,113,458,114,457,115,456,116,455,117,454,118,453,119,452,120,451
240-259,121,450,122,449,123,448,124,447,125,446,126,445,127,444,128,443,129,442,130,441
260-279,131,440,132,439,133,438,134,437,135,436,136,435,137,434,138,433,139,432,140,431
280-299,141,430,142,429,143,428,144,427,145,426,146,425,147,424,148,423,149,422,150,421
300-319,151,420,152,419,153,418,154,417,155,416,156,415,157,414,158,413,159,412,160,411
320-339,161,410,162,409,163,408,164,407,165,406,166,405,167,404,168,403,169,402,170,401
340-359,171,400,172,399,173,398,174,397,175,396,176,395,177,394,178,393,179,392,180,391
360-379,181,390,182,389,183,388,184,387,185,386,186,385,187,384,188,383,189,382,190,381
380-399,191,380,192,379,193,378,194,377,195,376,196,375,197,374,198,373,199,372,200,371
400-419,201,370,202,369,203,368,204,367,205,366,206,365,207,364,208,363,209,362,210,361
420-439,211,360,212,359,213,358,214,357,215,356,216,355,217,354,218,353,219,352,220,351
440-459,221,350,222,349,223,348,224,347,225,346,226,345,227,344,228,343,229,342,230,341
460-479,231,340,232,339,233,338,234,337,235,336,236,335,237,334,238,333,239,332,240,331
480-499,241,330,242,329,243,328,244,327,245,326,246,325,247,324,248,323,249,322,250,321
500-519,251,320,252,319,253,318,254,317,255,316,256,315,257,314,258,313,259,312,260,311
520-539,261,310,262,309,263,308,264,307,265,306,266,305,267,304,268,303,269,302,270,301
540-559,271,300,272,299,273,298,274,297,275,296,276,295,277,294,278,293,279,292,280,291
560-569,281,290,282,289,283,288,284,287,285,286,-,-,-,-,-,-,-,-,-,-
