DM-RS antenna port,,,,,,,,
,DM-RS Configuration type 1,,,,DM-RS Configuration type 2,,,
,resourceElementOffset,,,,resourceElementOffset,,,
,offset00,offset01,offset10,offset11,offset00,offset01,offset10,offset11
1000,0,2,6,8,0,1,6,7
1001,2,4,8,10,1,6,7,0
1002,1,3,7,9,2,3,8,9
1003,3,5,9,11,3,8,9,2
1004,-,-,-,-,4,5,10,11
1005,-,-,-,-,5,10,11,4
1008,4,6,10,0,-,-,-,-
1009,6,8,0,2,-,-,-,-
1010,5,7,11,1,-,-,-,-
1011,7,9,1,3,-,-,-,-
1012,-,-,-,-,6,7,0,1
1013,-,-,-,-,7,0,1,6
1014,-,-,-,-,8,9,2,3
1015,-,-,-,-,9,2,3,8
1016,-,-,-,-,10,11,4,5
1017,-,-,-,-,11,4,5,10
