Row,PortsN,Density ρ,cdm-Type,"k,l",CDM group index,k',l'
1,1,3,noCDM,", , k0,l0k0+4,l0k0+8,l0","0,0,0",0,0
2,1,"1, 0.5",noCDM,",k0,l0",0,0,0
3,2,"1, 0.5",fd-CDM2,",k0,l0",0,"0, 1",0
4,4,1,fd-CDM2,",k0,l0 k0+2,l0","0,1","0, 1",0
5,4,1,fd-CDM2,",k0,l0 k0,l0+1","0,1","0, 1",0
6,8,1,fd-CDM2,", , , k0,l0k1,l0k2,l0k3,l0","0,1,2,3","0, 1",0
7,8,1,fd-CDM2,", ,, k0,l0k1,l0 k0,l0+1k1,l0+1","0,1,2,3","0, 1",0
8,8,1,cdm4-FD2-TD2,", k0,l0k1,l0","0,1","0, 1","0, 1"
9,12,1,fd-CDM2,", , , ,, k0,l0k1,l0k2,l0k3,l0 k4,l0k5,l0","0,1,2,3,4,5","0, 1",0
10,12,1,cdm4-FD2-TD2,", , k0,l0k1,l0k2,l0","0,1,2","0, 1","0, 1"
11,16,"1, 0.5",fd-CDM2,", , , ,, , , k0,l0k1,l0k2,l0k3,l0 k0,l0+1k1,l0+1k2,l0+1k3,l0+1","0,1,2,3,4,5,6,7","0, 1",0
12,16,"1, 0.5",cdm4-FD2-TD2,", , , k0,l0k1,l0k2,l0k3,l0","0,1,2,3","0, 1","0, 1"
13,24,"1, 0.5",fd-CDM2,", , , , , ,, , , , , k0,l0k1,l0k2,l0k0,l0+1k1,l0+1k2,l0+1k0,l1k1,l1k2,l1k0,l1+1k1,l1+1k2,l1+1","0,1,2,3,4,5,6,7,8,9,10,11","0, 1",0
14,24,"1, 0.5",cdm4-FD2-TD2,", , , , , k0,l0k1,l0k2,l0k0,l1k1,l1k2,l1","0,1,2,3,4,5","0, 1","0, 1"
15,24,"1, 0.5",cdm8-FD2-TD4,", , k0,l0k1,l0k2,l0","0,1,2","0, 1","0, 1, 2, 3"
16,32,"1, 0.5",fd-CDM2,", , , ,, , , , , , , , , , , k0,l0k1,l0k2,l0k3,l0k0,l0+1k1,l0+1k2,l0+1k3,l0+1 k0,l1k1,l1k2,l1k3,l1k0,l1+1k1,l1+1k2,l1+1k3,l1+1","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","0, 1",0
17,32,"1, 0.5",cdm4-FD2-TD2,", , , , , , , k0,l0k1,l0k2,l0k3,l0 k0,l1k1,l1k2,l1k3,l1","0,1,2,3,4,5,6,7","0, 1","0, 1"
18,32,"1, 0.5",cdm8-FD2-TD4,", , , k0,l0k1,l0k2,l0k3,l0","0,1,2,3","0,1","0,1, 2, 3"
