u,"φ0,…,φ11",,,,,,,,,,,
0,-3,1,-3,-3,-3,3,-3,-1,1,1,1,-3
1,-3,3,1,-3,1,3,-1,-1,1,3,3,3
2,-3,3,3,1,-3,3,-1,1,3,-3,3,-3
3,-3,-3,-1,3,3,3,-3,3,-3,1,-1,-3
4,-3,-1,-1,1,3,1,1,-1,1,-1,-3,1
5,-3,-3,3,1,-3,-3,-3,-1,3,-1,1,3
6,1,-1,3,-1,-1,-1,-3,-1,1,1,1,-3
7,-1,-3,3,-1,-3,-3,-3,-1,1,-1,1,-3
8,-3,-1,3,1,-3,-1,-3,3,1,3,3,1
9,-3,-1,-1,-3,-3,-1,-3,3,1,3,-1,-3
10,-3,3,-3,3,3,-3,-1,-1,3,3,1,-3
11,-3,-1,-3,-1,-1,-3,3,3,-1,-1,1,-3
12,-3,-1,3,-3,-3,-1,-3,1,-1,-3,3,3
13,-3,1,-1,-1,3,3,-3,-1,-1,-3,-1,-3
14,1,3,-3,1,3,3,3,1,-1,1,-1,3
15,-3,1,3,-1,-1,-3,-3,-1,-1,3,1,-3
16,-1,-1,-1,-1,1,-3,-1,3,3,-1,-3,1
17,-1,1,1,-1,1,3,3,-1,-1,-3,1,-3
18,-3,1,3,3,-1,-1,-3,3,3,-3,3,-3
19,-3,-3,3,-3,-1,3,3,3,-1,-3,1,-3
20,3,1,3,1,3,-3,-1,1,3,1,-1,-3
21,-3,3,1,3,-3,1,1,1,1,3,-3,3
22,-3,3,3,3,-1,-3,-3,-1,-3,1,3,-3
23,3,-1,-3,3,-3,-1,3,3,3,-3,-1,-3
24,-3,-1,1,-3,1,3,3,3,-1,-3,3,3
25,-3,3,1,-1,3,3,-3,1,-1,1,-1,1
26,-1,1,3,-3,1,-1,1,-1,-1,-3,1,-1
27,-3,-3,3,3,3,-3,-1,1,-3,3,1,-3
28,1,-1,3,1,1,-1,-1,-1,1,3,-3,1
29,-3,3,-3,3,-3,-3,3,-1,-1,1,3,-3
