,for PRACHΔfRA,for PUSCH,", allocation expressed in number of RBs for PUSCH",
839,1.25,15,6,7
839,1.25,30,3,1
839,1.25,60,2,133
839,5,15,24,12
839,5,30,12,10
839,5,60,6,7
139,15,15,12,2
139,15,30,6,2
139,15,60,3,2
139,30,15,24,2
139,30,30,12,2
139,30,60,6,2
139,60,60,12,2
139,60,120,6,2
139,120,60,24,2
139,120,120,12,2
139,120,480,3,1
139,120,960,2,23
139,480,120,48,2
139,480,480,12,2
139,480,960,6,2
139,960,120,96,2
139,960,480,24,2
139,960,960,12,2
571,30,15,96,2
571,30,30,48,2
571,30,60,24,2
571,120,120,48,2
571,120,480,12,1
571,120,960,7,47
571,480,120,192,2
571,480,480,48,2
571,480,960,24,2
1151,15,15,96,1
1151,15,30,48,1
1151,15,60,24,1
1151,120,120,97,6
1151,120,480,25,23
1151,120,960,13,45
