u,"φ0,…,φ5",,,,,
0,-1,-7,-3,-5,-1,3
1,-1,3,7,-3,7,3
2,-1,3,1,5,-1,-5
3,-7,-3,-7,5,-7,-3
4,7,5,-1,-7,-3,1
5,3,-3,1,5,-1,-1
6,-7,-3,-7,-3,7,-5
7,-7,-3,1,-5,-1,-5
8,-7,-3,3,-3,-7,-3
9,-7,-7,-1,1,-5,1
10,-7,-3,-7,5,-1,5
11,-7,-7,-3,1,5,-1
12,5,7,-3,-5,5,-5
13,-3,7,-5,-1,-5,-1
14,5,-7,7,1,5,1
15,-7,3,1,5,-1,3
16,-7,-5,-1,-7,-5,5
17,-7,1,-3,3,7,5
18,-7,-7,3,5,1,5
19,-7,-3,3,-1,3,-5
20,-7,-5,5,3,-7,-1
21,1,5,1,5,3,7
22,1,-3,1,-5,-1,3
23,1,7,1,-5,-7,-1
24,1,-1,3,-1,-7,-3
25,1,-1,-5,-1,3,-3
26,1,-1,3,-1,3,7
27,-5,3,7,5,3,7
28,-7,1,-3,1,5,1
29,1,5,3,-7,5,-3
