DM-RS antenna port,,,,,,,,
,DM-RS Configuration type 1,,,,DM-RS Configuration type 2,,,
,resourceElementOffset,,,,resourceElementOffset,,,
,offset00,offset01,offset10,offset11,offset00,offset01,offset10,offset11
0,0,2,6,8,0,1,6,7
1,2,4,8,10,1,6,7,0
2,1,3,7,9,2,3,8,9
3,3,5,9,11,3,8,9,2
4,-,-,-,-,4,5,10,11
5,-,-,-,-,5,10,11,4
8,4,6,10,0,-,-,-,-
9,6,8,0,2,-,-,-,-
10,5,7,11,1,-,-,-,-
11,7,9,1,3,-,-,-,-
12,-,-,-,-,6,7,0,1
13,-,-,-,-,7,0,1,6
14,-,-,-,-,8,9,2,3
15,-,-,-,-,9,2,3,8
16,-,-,-,-,10,11,4,5
17,-,-,-,-,11,4,5,10
