in symbolsld,DM-RS position l,,,,,
,PSCCH duration 2 symbols,,,PSCCH duration 3 symbols,,
,Number of PSSCH DM-RS,,,Number of PSSCH DM-RS,,
,2,3,4,2,3,4
6,"1, 5",,,"1, 5",,
7,"1, 5",,,"1, 5",,
8,"1, 5",,,"1, 5",,
9,"3, 8","1, 4, 7",,"4, 8","1, 4, 7",
10,"3, 8","1, 4, 7",,"4, 8","1, 4, 7",
11,"3, 10","1, 5, 9","1, 4, 7, 10","4, 10","1, 5, 9","1, 4, 7, 10"
12,"3, 10","1, 5, 9","1, 4, 7, 10","4, 10","1, 5, 9","1, 4, 7, 10"
13,"3, 10","1, 6, 11","1, 4, 7, 10","4, 10","1, 6, 11","1, 4, 7, 10"
