in symbolsld,DM-RS positions,,,,,,,
,PUSCH mapping type A,,,,PUSCH mapping type B,,,
,dmrs-AdditionalPosition,,,,dmrs-AdditionalPosition,,,
,pos0,pos1,pos2,pos3,pos0,pos1,pos2,pos3
<4,-,-,-,-,,,,
4,,,,,,,,
5,,,,,,", 4",", 4",", 4"
6,,,,,,", 4",", 4",", 4"
7,,,,,,", 4",", 4",", 4"
8,,", 7",", 7",", 7",,", 6",", 3, 6",", 3, 6"
9,,", 7",", 7",", 7",,", 6",", 3, 6",", 3, 6"
10,,", 9",", 6, 9",", 6, 9",,", 8",", 4, 8",", 3, 6, 9"
11,,", 9",", 6, 9",", 6, 9",,", 8",", 4, 8",", 3, 6, 9"
12,,", 9",", 6, 9",", 5, 8, 11",,", 10",", 5, 10",", 3, 6, 9"
13,,", 11",", 7, 11",", 5, 8, 11",,", 10",", 5, 10",", 3, 6, 9"
14,,", 11",", 7, 11",", 5, 8, 11",,", 10",", 5, 10",", 3, 6, 9"
