p,CDM group λ,Δ,wf(0)…wf(3),wt(0)wt(1)
1000,0,0,+1+1+1+1,+1+1
1001,0,0,+1-1+1-1,+1+1
1002,1,2,+1+1+1+1,+1+1
1003,1,2,+1-1+1-1,+1+1
1004,2,4,+1+1+1+1,+1+1
1005,2,4,+1-1+1-1,+1+1
1006,0,0,+1+1+1+1,+1-1
1007,0,0,+1-1+1-1,+1-1
1008,1,2,+1+1+1+1,+1-1
1009,1,2,+1-1+1-1,+1-1
1010,2,4,+1+1+1+1,+1-1
1011,2,4,+1-1+1-1,+1-1
1012,0,0,+1+1-1-1,+1+1
1013,0,0,+1-1-1+1,+1+1
1014,1,2,+1+1-1-1,+1+1
1015,1,2,+1-1-1+1,+1+1
1016,2,4,+1+1-1-1,+1+1
1017,2,4,+1-1-1+1,+1+1
1018,0,0,+1+1-1-1,+1-1
1019,0,0,+1-1-1+1,+1-1
1020,1,2,+1+1-1-1,+1-1
1021,1,2,+1-1-1+1,+1-1
1022,2,4,+1+1-1-1,+1-1
1023,2,4,+1-1-1+1,+1-1
