p,CDM group λ,Δ,wf(0)…wf(3),wt(0)wt(1)
0,0,0,+1+1+1+1,+1+1
1,0,0,+1-1+1-1,+1+1
2,1,2,+1+1+1+1,+1+1
3,1,2,+1-1+1-1,+1+1
4,2,4,+1+1+1+1,+1+1
5,2,4,+1-1+1-1,+1+1
6,0,0,+1+1+1+1,+1-1
7,0,0,+1-1+1-1,+1-1
8,1,2,+1+1+1+1,+1-1
9,1,2,+1-1+1-1,+1-1
10,2,4,+1+1+1+1,+1-1
11,2,4,+1-1+1-1,+1-1
12,0,0,+1+j-1-j,+1+1
13,0,0,+1-j-1+j,+1+1
14,1,2,+1+j-1-j,+1+1
15,1,2,+1-j-1+j,+1+1
16,2,4,+1+j-1-j,+1+1
17,2,4,+1-j-1+j,+1+1
18,0,0,+1+j-1-j,+1-1
19,0,0,+1-j-1+j,+1-1
20,1,2,+1+j-1-j,+1-1
21,1,2,+1-j-1+j,+1-1
22,2,4,+1+j-1-j,+1-1
23,2,4,+1-j-1+j,+1-1
