Change history,,,,,,,
Date,TSG #,TSG Doc.,CR,Rev,Subject/Comment,Old,New
2006-09-24,-,-,-,,Draft version created,-,0.0.0
2006-10-09,-,-,-,,Updated skeleton,0.0.0,0.0.1
2006-10-13,-,-,-,,Endorsed by RAN1,0.0.1,0.1.0
2006-10-23,-,-,-,,Inclusion of decision from RAN1#46bis,0.1.0,0.1.1
2006-11-06,-,-,-,,Updated editor 's version,0.1.1,0.1.2
2006-11-09,-,-,-,,Updated editor 's version,0.1.2,0.1.3
2006-11-10,-,-,-,,Endorsed by RAN1#47,0.1.3,0.2.0
2006-11-27,-,-,-,,"Editor 's version, including decisions from RAN1#47",0.2.0,0.2.1
2006-12-14,-,-,-,,Updated editor 's version,0.2.1,0.2.2
2007-01-15,-,-,-,,Updated editor 's version,0.2.2,0.2.3
2007-01-19,-,-,-,,Endorsed by RAN1#47bis,0.2.3,0.3.0
2007-02-01,-,-,-,,"Editor 's version, including decisions from RAN1#47bis",0.3.0,0.3.1
2007-02-12,-,-,-,,Updated editor 's version,0.3.1,0.3.2
2007-02-16,-,-,-,,Endorsed by RAN1#48,0.3.2,0.4.0
2007-02-16,-,-,-,,"Editor 's version, including decisions from RAN1#48",0.4.0,0.4.1
2007-02-21,-,-,-,,Updated editor 's version,0.4.1,0.4.2
2007-03-03,RP_35,RP-070169,,,For information at RAN#35,0.4.2,1.0.0
2007-04-25,-,-,-,,"Editor 's version, including decisions from RAN1#48bis and RAN1 TDD Ad Hoc",1.0.0,1.0.1
2007-05-03,-,-,-,-,Updated editor 's version,1.0.1,1.0.2
2007-05-08,-,-,-,-,Updated editor 's version,1.0.2,1.0.3
2007-05-11,-,-,-,-,Updated editor 's version,1.0.3,1.0.4
2007-05-11,-,-,-,-,Endorsed by RAN1#49,1.0.4,1.1.0
2007-05-15,-,-,-,-,"Editor 's version, including decisions from RAN1#49",1.1.0,1.1.1
2007-06-05,-,-,-,-,Updated editor 's version,1.1.1,1.1.2
2007-06-25,-,-,-,-,Endorsed by RAN1#49bis,1.1.2,1.2.0
2007-07-10,-,-,-,-,"Editor 's version, including decisions from RAN1#49bis",1.2.0,1.2.1
2007-08-10,-,-,-,-,Updated editor 's version,1.2.1,1.2.2
2007-08-20,-,-,-,-,Updated editor 's version,1.2.2,1.2.3
2007-08-24,-,-,-,-,Endorsed by RAN1#50,1.2.3,1.3.0
2007-08-27,-,-,-,-,"Editor 's version, including decisions from RAN1#50",1.3.0,1.3.1
2007-09-05,-,-,-,-,Updated editor 's version,1.3.1,1.3.2
2007-09-08,RP_37,RP-070729,-,-,For approval at RAN#37,1.3.2,2.0.0
12/09/07,RP_37,RP-070729,,,Approved version,2.0.0,8.0.0
28/11/07,RP_38,RP-070949,0001,-,Introduction of optimized FS2 for TDD,8.0.0,8.1.0
28/11/07,RP_38,RP-070949,0002,-,"Introduction of scrambling sequences, uplink reference signal sequences, secondary synchronization sequences and control channel processing",8.0.0,8.1.0
05/03/08,RP_39,RP-080219,0003,1,"Update of uplink reference-signal hopping, downlink reference signals, scrambling sequences, DwPTS/UpPTS lengths for TDD and control channel processing",8.1.0,8.2.0
28/05/08,RP_40,RP-080432,0004,-,Correction of the number of subcarriers in PUSCH transform precoding,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0005,-,Correction of PHICH mapping,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0006,-,Correction of PUCCH resource index for PUCCH format 2,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0007,3,Correction of the predefined hopping pattern for PUSCH,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0008,-,Non-binary hashing functions,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0009,1,PUCCH format 1,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0010,1,CR on Uplink DM RS hopping,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0012,1,Correction to limitation of constellation size of ACK transmission in PUSCH,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0015,1,PHICH mapping for one and two antenna ports in extended CP,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0016,1,Correction of PUCCH in absent of mixed format,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0017,-,Specification of CCE size and PHICH resource indication,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0018,3,Correction of the description of frame structure type 2,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0019,-,On Delta^pucch_shift correction,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0021,-,Corrections to Secondary Synchronization Signal Mapping,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0022,-,Downlink VRB mapping to PRB for distributed transmission,8.2.0,8.3.0
