Index of indicator,"Definition(description of the supported functionality, if indicator set to one)",Notes,"If indicated ""Yes"" the feature shall be implemented and successfully tested for this version of the specification",FDD/ TDD diff
101 (leftmost bit),- DMRS with OCC (orthogonal cover code) and SGH (sequence group hopping) disabling,"- if the UE supports two or more layers for spatial multiplexing in UL, this bit shall be set to 1.- If a category 0 or 1bis UE does not support this feature, this bit shall be set to 0.",,No
102,- Trigger type 1 SRS (aperiodic SRS) transmission (Up to X ports)NOTE: X = number of supported layers on given band,,,Yes
103,- PDSCH transmission mode 9 when up to 4 CSI reference signal ports are configured and when not operating in CE mode,"- for Category 8 UEs, this bit shall be set to 1.- for Category 11 and higher UEs, this bit shall be set to 1.- for DL Category 11 and higher UEs (except for DL Category 13), this bit shall be set to 1.","Yes for the UE categories listed in the column ""Notes""",Yes
104,- PDSCH transmission mode 9 for TDD when 8 CSI reference signal ports are configured and when not operating in CE mode,"- if the UE does not support TDD, this bit is irrelevant, and shall be set to 0.- this bit is not applicable to FDD (capability signalling exists for FDD for this feature).- for Category 8 UEs, this bit shall be set to 1.- for Category 11 and higher UEs, this bit shall be set to 1.- for DL Category 11 and higher UEs (except for DL Category 13), this bit shall be set to 1.","Yes for TDD, for the UE categories listed in the column ""Notes""",No
105,"- Periodic CQI/PMI/RI reporting on PUCCH: Mode 2-0 – UE selected subband CQI without PMI, when PDSCH transmission mode 9 is configured- Periodic CQI/PMI/RI reporting on PUCCH: Mode 2-1 – UE selected subband CQI with single PMI, when PDSCH transmission mode 9 and up to 4 CSI reference signal ports are configured","- this bit can be set to 1 only if indices 2 (Table B.1-1) and 103 are set to 1.- For UEs capable of TDD-FDD CA, this bit can be set to 1 for both FDD and TDD if index 2 is set to 1 for both FDD and TDD, and index 103 is set to 1 for at least one of FDD and TDD duplex modes.",,Yes
106,"- Periodic CQI/PMI/RI/PTI reporting on PUCCH: Mode 2-1 – UE selected subband CQI with single PMI, when PDSCH transmission mode 9 and 8 CSI reference signal ports are configured","- this bit can be set to 1 only if the UE supports PDSCH transmission mode 9 with 8 CSI reference signal ports (i.e., for TDD, if index 104 is set to 1, and for FDD, if tm9-With-8Tx-FDD-r10 is set to 'supported') and if index 2 (Table B.1-1) is set to 1.- For UEs capable of TDD-FDD CA, this bit can be set to 1 for both FDD and TDD if at least one of index 104 and tm9-With-8Tx-FDD-r10 is set to 1/'supported', and if index 2 is set to 1 for both FDD and TDD.",,Yes
107,"- Aperiodic CQI/PMI/RI reporting on PUSCH: Mode 2-0 – UE selected subband CQI without PMI, when PDSCH transmission mode 9 is configured- Aperiodic CQI/PMI/RI reporting on PUSCH: Mode 2-2 – UE selected subband CQI with multiple PMI, when PDSCH transmission mode 9 and up to 4 CSI reference signal ports are configured","- this bit can be set to 1 only if indices 1 (Table B.1-1) and 103 are set to 1.- For UEs capable of TDD-FDD CA, this bit can be set to 1 for both FDD and TDD if index 1 is set to 1 for both FDD and TDD, and index 103 is set to 1 for at least one of FDD and TDD duplex modes.",,Yes
108,"- Aperiodic CQI/PMI/RI reporting on PUSCH: Mode 2-2 – UE selected subband CQI with multiple PMI, when PDSCH transmission mode 9 and 8 CSI reference signal ports are configured","- this bit can be set to 1 only if the UE supports PDSCH transmission mode 9 with 8 CSI reference signal ports (i.e., for TDD, if index 104 is set to 1, and for FDD, if tm9-With-8Tx-FDD-r10 is set to 'supported') and if index 1 (Table B.1-1) is set to 1.- For UEs capable of TDD-FDD CA, this bit can be set to 1 for both FDD and TDD if at least one of index 104 and tm9-With-8Tx-FDD-r10 is set to 1/'supported', and if index 1 is set to 1 for both FDD and TDD.",,Yes
109,"- Periodic CQI/PMI/RI reporting on PUCCH Mode 1-1, submode 1","- this bit can be set to 1 only if the UE supports PDSCH transmission mode 9 with 8 CSI reference signal ports (i.e., for TDD, if index 104 is set to 1, and for FDD, if tm9-With-8Tx-FDD-r10 is set to 'supported').- For UEs capable of TDD-FDD CA, this bit can be set to 1 for both FDD and TDD if at least one of index 104 and tm9-With-8Tx-FDD-r10 is set to 1/'supported'.",,Yes
110,"- Periodic CQI/PMI/RI reporting on PUCCH Mode 1-1, submode 2","- this bit can be set to 1 only if the UE supports PDSCH transmission mode 9 with 8 CSI reference signal ports (i.e., for TDD, if index 104 is set to 1, and for FDD, if tm9-With-8Tx-FDD-r10 is set to 'supported').- For UEs capable of TDD-FDD CA, this bit can be set to 1 for both FDD and TDD if at least one of index 104 and tm9-With-8Tx-FDD-r10 is set to 1/'supported'.",,Yes
111,- Measurement reporting trigger Event A6,- this bit can be set to 1 only if the UE supports carrier aggregation.,,Yes
112,- SCell addition within the handover to EUTRA procedure,- this bit can be set to 1 only if the UE supports carrier aggregation and the handover to EUTRA procedure.,,Yes
113,- Trigger type 0 SRS (periodic SRS) transmission on X Serving CellsNOTE: X = number of supported component carriers in a given band combination,- this bit can be set to 1 only if the UE supports carrier aggregation in UL.,,Yes
114,- Reporting of both UTRA CPICH RSCP and Ec/N0 in a Measurement Report,- this bit can be set to 1 only if index 22 (Table B.1-1) is set to 1.,,No
115,- time domain ICIC RLM/RRM measurement subframe restriction for the serving cell- time domain ICIC RRM measurement subframe restriction for neighbour cells- time domain ICIC CSI measurement subframe restriction,"- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.",,Yes
116,- Relative transmit phase continuity for spatial multiplexing in UL,- this bit can be set to 1 only if the UE supports two or more layers for spatial multiplexing in UL.,,Yes
117,Undefined,,,
118,Undefined,,,
119,Undefined,,,
120,Undefined,,,
121,Undefined,,,
122,Undefined,,,
123,Undefined,,,
124,Undefined,,,
125,Undefined,,,
126,Undefined,,,
127,Undefined,,,
128,Undefined,,,
129,Undefined,,,
130,Undefined,,,
131,Undefined,,,
132,Undefined,,,
