Index of indicator (bit number),"Definition(description of the supported functionality, if indicator set to one)",Notes,"If indicated ""Yes"" the feature shall be implemented and successfully tested for this version of the specification",FDD/ TDD diff
33 (leftmost bit),Inter-RAT ANR features for UTRAN FDD (including the case of (NG)EN-DC wherein MN and SN have the same DRX cycle and on-duration configured by MN completely contains on-duration configured by SN) including:- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCellsForSON- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportCGI,- can only be set to 1 if the UE has set bit number 5 and bit number 22 to 1.,,Yes
34,Inter-RAT ANR features for GERAN (including the case of (NG)EN-DC wherein MN and SN have the same DRX cycle and on-duration configured by MN completely contains on-duration configured by SN) including:- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCells- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportCGI,- can only be set to 1 if the UE has set bit number 5 and bit number 23 to 1.,,Yes
35,Inter-RAT ANR features for 1xRTT (including the case of (NG)EN-DC wherein MN and SN have the same DRX cycle and on-duration configured by MN completely contains on-duration configured by SN) including:- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCellsForSON- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportCGI,- can only be set to 1 if the UE has set bit number 5 and bit number 24 to 1.,,Yes
36,Inter-RAT ANR features for HRPD (including the case of (NG)EN-DC wherein MN and SN have the same DRX cycle and on-duration configured by MN completely contains on-duration configured by SN) including:- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCellsForSON- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportCGI,- can only be set to 1 if the UE has set bit number 5 and bit number 26 to 1.,,Yes
37,Inter-RAT ANR features for UTRAN TDD (including the case of (NG)EN-DC wherein MN and SN have the same DRX cycle and on-duration configured by MN completely contains on-duration configured by SN) including:- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCellsForSON- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportCGI,- can only be set to 1 if the UE has set bit number 5 and at least one of the bit number 22 (for UEs supporting only UTRA TDD) or the bit number 39 to 1.,,Yes
38,"- EUTRA RRC_CONNECTED to UTRA TDD CELL_DCH PS handover, if the UE supports both UTRAN FDD and UTRAN TDD",- can only be set to 1 if the UE has set bit number 39 to 1,,Yes
39,"- UTRAN TDD measurements, reporting and measurement reporting event B2 in E-UTRA connected mode, if the UE supports both UTRAN FDD and UTRAN TDD","- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.",,Yes
40,"- EUTRA RRC_CONNECTED to UTRA TDD CELL_DCH CS handover, if the UE supports both UTRAN FDD and UTRAN TDD",- related to SR-VCC- can only be set to 1 if the UE has set bit number 38 to 1,,Yes
41,"Measurement reporting event: Event B1 – Neighbour > threshold for UTRAN FDD, if the UE supports UTRAN FDD and has set bit number 22 to 1","- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.","Yes for FDD, unless UE has set bit number 15 to 1",Yes
42,- DCI format 3a (TPC commands for PUCCH and PUSCH with single bit power adjustments),"- If a category M1 or M2UE supports this feature group, this bit shall be set to 1. For a UE of all other categories, this bit shall be set to 0.",,Yes
43,Undefined,,,
44,Undefined,,,
45,Undefined,,,
46,Undefined,,,
47,Undefined,,,
48,Undefined,,,
49,Undefined,,,
50,Undefined,,,
51,Undefined,,,
52,Undefined,,,
53,Undefined,,,
54,Undefined,,,
55,Undefined,,,
56,Undefined,,,
57,Undefined,,,
58,Undefined,,,
59,Undefined,,,
60,Undefined,,,
61,Undefined,,,
62,Undefined,,,
63,Undefined,,,
64,Undefined,,,
