Change history,,,,,,,
Date,TSG #,TSG Doc.,CR,Rev,Cat,Subject/Comment,New version
12/2007,RP-38,RP-070920,-,,,Approved at TSG-RAN #38 and placed under Change Control,8.0.0
03/2008,RP-39,RP-080163,0001,4,,CR to 36.331 with Miscellaneous corrections,8.1.0
03/2008,RP-39,RP-080164,0002,2,,CR to 36.331 to convert RRC to agreed ASN.1 format,8.1.0
05/2008,RP-40,RP-080361,0003,1,,CR to 36.331 on Miscellaneous clarifications/ corrections,8.2.0
09/2008,RP-41,RP-080693,0005,-,,CR on Miscellaneous corrections and clarifications,8.3.0
12/2008,RP-42,RP-081021,0006,-,,Miscellaneous corrections and clarifications,8.4.0
03/2009,RP-43,RP-090131,0007,-,,Correction to the Counter Check procedure,8.5.0
,RP-43,RP-090131,0008,-,,CR to 36.331-UE Actions on Receiving SIB11,8.5.0
,RP-43,RP-090131,0009,1,,Spare usage on BCCH,8.5.0
,RP-43,RP-090131,0010,-,,Issues in handling optional IE upon absence in GERAN NCL,8.5.0
,RP-43,RP-090131,0011,-,,CR to 36.331 on Removal of useless RLC re-establishment at RB release,8.5.0
,RP-43,RP-090131,0012,1,,Clarification to RRC level padding at PCCH and BCCH,8.5.0
,RP-43,RP-090131,0013,-,,Removal of Inter-RAT message,8.5.0
,RP-43,RP-090131,0014,-,,Padding of the SRB-ID for security input,8.5.0
,RP-43,RP-090131,0015,-,,Validity of ETWS SIB,8.5.0
,RP-43,RP-090131,0016,1,,Configuration of the Two-Intervals-SPS,8.5.0
,RP-43,RP-090131,0017,-,,Corrections on Scaling Factor Values of Qhyst,8.5.0
,RP-43,RP-090131,0018,1,,Optionality of srsMaxUppts,8.5.0
,RP-43,RP-090131,0019,-,,CR for discussion on field name for common and dedicated IE,8.5.0
,RP-43,RP-090131,0020,-,,Corrections to Connected mode mobility,8.5.0
,RP-43,RP-090131,0021,-,,Clarification regarding the measurement reporting procedure,8.5.0
,RP-43,RP-090131,0022,1,,Corrections on s-Measure,8.5.0
,RP-43,RP-090131,0023,1,,R1 of CR0023 (R2-091029) on combination of SPS and TTI bundling for TDD,8.5.0
,RP-43,RP-090131,0024,-,,L3 filtering for path loss measurements,8.5.0
,RP-43,RP-090131,0025,1,,S-measure handling for reportCGI,8.5.0
,RP-43,RP-090131,0026,1,,Measurement configuration clean up,8.5.0
,RP-43,RP-090131,0027,-,,Alignment of measurement quantities for UTRA,8.5.0
,RP-43,RP-090131,0028,-,,CR to 36.331 on L1 parameters ranges alignment,8.5.0
,RP-43,RP-090131,0029,-,,Default configuration for transmissionMode,8.5.0
,RP-43,RP-090131,0030,-,,"CR to 36.331 on RRC Parameters for MAC, RLC and PDCP",8.5.0
,RP-43,RP-090131,0031,1,,CR to 36.331 - Clarification on Configured PRACH Freq Offset,8.5.0
,RP-43,RP-090131,0032,-,,Clarification on TTI bundling configuration,8.5.0
,RP-43,RP-090131,0033,1,,Update of R2-091039 on Inter-RAT UE Capability,8.5.0
,RP-43,RP-090133,0034,-,,Feature Group Support Indicators,8.5.0
,RP-43,RP-090131,0036,-,,Corrections to RLF detection,8.5.0
,RP-43,RP-090131,0037,-,,Indication of Dedicated Priority,8.5.0
,RP-43,RP-090131,0038,2,,Security Clean up,8.5.0
,RP-43,RP-090131,0039,-,,Correction of TTT value range,8.5.0
,RP-43,RP-090131,0040,-,,Correction on CDMA measurement result IE,8.5.0
,RP-43,RP-090131,0041,1,,Clarification of Measurement Reporting,8.5.0
,RP-43,RP-090131,0042,-,,Spare values in DL and UL Bandwidth in MIB and SIB2,8.5.0
,RP-43,RP-090131,0044,1,,Clarifications to System Information Block Type 8,8.5.0
,RP-43,RP-090131,0045,-,,Reception of ETWS secondary notification,8.5.0
,RP-43,RP-090131,0046,1,,Validity time for ETWS message Id and Sequence No,8.5.0
,RP-43,RP-090131,0047,-,,CR for Timers and constants values used during handover to E-UTRA,8.5.0
,RP-43,RP-090131,0048,-,,Inter-RAT Security Clarification,8.5.0
,RP-43,RP-090131,0049,-,,CR to 36.331 on consistent naming of 1xRTT identifiers,8.5.0
,RP-43,RP-090131,0050,-,,Capturing RRC behavior regarding NAS local release,8.5.0
,RP-43,RP-090131,0051,-,,Report CGI before T321 expiry and UE null reporting,8.5.0
,RP-43,RP-090131,0052,-,,System Information and 3 hour validity,8.5.0
,RP-43,RP-090131,0053,1,,Inter-Node AS Signalling,8.5.0
,RP-43,RP-090131,0054,-,,"Set of values for the parameter ""messagePowerOffsetGroupB""",8.5.0
,RP-43,RP-090131,0055,-,,CR to paging reception for ETWS capable UEs in RRC_CONNECTED,8.5.0
,RP-43,RP-090131,0056,1,,CR for CSG related items in 36.331,8.5.0
,RP-43,RP-090131,0057,1,,SRS common configuration,8.5.0
,RP-43,RP-090131,0058,-,,RRC processing delay,8.5.0
,RP-43,RP-090131,0059,-,,CR for HNB Name,8.5.0
