Name,Value,Semantics description,Ver
PDCP configuration,,,
discardTimer,Undefined,Up to UE implementation,
pdcp-SN-Size,16,,
maxCID,15,,
profiles,,,
t-Reordering (PDCP),Undefined,"Only used for V2X sidelink communication.Selected by the receiving UE, up to UE implementation",V1520
RLC configuration,,Uni-directional UM RLCUM window size is set to 0,
,,Uni-directional UM RLCUM window size is set to 0 for sidelink communication,v1440
sn-FieldLength,5,,
logicalChannelIdentity,Undefined,"Selected by the transmitting UE, up to UE implementation",
Logical channel configuration,,,
priority,Undefined,"Selected by the transmitting UE, up to UE implementation",
prioritisedBitRate,Undefined,"Selected by the transmitting UE, up to UE implementation",
bucketSizeDuration,Undefined,"Selected by the transmitting UE, up to UE implementation",
logicalChannelGroup,3,,
t-Reordering,Undefined,"Only used for V2X sidelink communication. Selected by the receiving UE, up to UE implementation",v1440
MAC configuration,,,
