Conditional presence,Explanation
EDT,"The field is optionally present, Need OR, if edt-Parameters is present; otherwise the field is not present and the UE shall delete any existing value for this field."
MP-A,"The field is mandatory present for CE mode A. Otherwise the field is optional, Need OR."
MP-B,"The field is mandatory present for CE mode B. Otherwise the field is optional, Need OR."
NTN,"The field is mandatory present for NTN. Otherwise, the field is not present."
TDD,"The field is optional for TDD, Need ON; it is not present for FDD and the UE shall delete any existing value for this field."
TDD2,"If tdd-Config-r10 is present, the field is optional, Need OR. Otherwise the field is not present and the UE shall delete any existing value for this field."
TDD3,"If tdd-Config is present, the field is optional, Need OR. Otherwise the field is not present and the UE shall delete any existing value for this field."
TDD-OR-NoR11,"If prach-ConfigSCell-r11 is absent, the field is optional for TDD, Need OR. Otherwise the field is not present and the UE shall delete any existing value for this field."
TDDSCell,"This field is mandatory present for TDD; it is not present for FDD and LAA SCell, and the UE shall delete any existing value for this field."
UL,"If the SCell is part of the STAG or concerns the PSCell or PUCCH SCell and if ul-Configuration is included, the field is optional, Need OR. Otherwise the field is not present and the UE shall delete any existing value for this field."
ULSCell,"For the PSCell (IE is included in RadioResourceConfigCommonPSCell) the field is absent. Otherwise, if the SCell is part of the STAG and if ul-Configuration is included, the field is optional, Need OR. Otherwise the field is not present and the UE shall delete any existing value for this field."
ULSRS,"If ul-Configuration-r10 is absent, the field is optional, Need OR. Otherwise the field is not present and the UE shall delete any existing value for this field."
