Index of indicator (bit number),"Definition(description of the supported functionality, if indicator set to one)",Notes,"If indicated ""Yes"" the feature shall be implemented and successfully tested for this version of the specification",FDD/ TDD diff
1 (leftmost bit),- Intra-subframe frequency hopping for PUSCH scheduled by UL grant- DCI format 3a (TPC commands for PUCCH and PUSCH with single bit power adjustments)- Aperiodic CQI/PMI/RI reporting on PUSCH: Mode 2-0 – UE selected subband CQI without PMI- Aperiodic CQI/PMI/RI reporting on PUSCH: Mode 2-2 – UE selected subband CQI with multiple PMI,"- set to 1 by category M1 and M2 UEs that have implemented and successfully tested ""Aperiodic CQI/PMI/RI reporting on PUSCH: Mode 2-0 – UE selected subband CQI without PMI""",,Yes
2,"- Simultaneous CQI and ACK/NACK on PUCCH, i.e. PUCCH format 2a and 2b- Absolute TPC command for PUSCH- Resource allocation type 1 for PDSCH- Periodic CQI/PMI/RI reporting on PUCCH: Mode 2-0 – UE selected subband CQI without PMI- Periodic CQI/PMI/RI reporting on PUCCH: Mode 2-1 – UE selected subband CQI with single PMI","- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.",,Yes
3,- 5bit RLC UM SN- 7bit PDCP SN,- can only be set to 1 if the UE has set bit number 7 to 1.,"Yes, if UE supports VoLTE, MCPTT, or both.Yes, if UE supports SRVCC to EUTRAN from GERAN.",No
4,- Short DRX cycle,- can only be set to 1 if the UE has set bit number 5 to 1.- not supported by category M1 or M2 UE,,Yes
5,- Long DRX cycle- DRX command MAC control element,,Yes,No
6,- Prioritised bit rate,,Yes,No
7,- RLC UM,- can only be set to 0 if the UE does neither support VoLTE nor MCPTT,"Yes, if UE supports VoLTE, MCPTT, or both.Yes, if UE supports SRVCC to EUTRAN from GERAN.",No
8,"- EUTRA RRC_CONNECTED to UTRA FDD or UTRA TDD CELL_DCH PS handover, if the UE supports either only UTRAN FDD or only UTRAN TDD- EUTRA RRC_CONNECTED to UTRA FDD CELL_DCH PS handover, if the UE supports both UTRAN FDD and UTRAN TDD",- can only be set to 1 if the UE has set bit number 22 to 1,"Yes (except for category M1 and M2 UEs) for FDD, if UE supports UTRA FDD.",Yes
9,- EUTRA RRC_CONNECTED to GERAN GSM_Dedicated handover,- related to SR-VCC- can only be set to 1 if the UE has set bit number 23 to 1,"Yes (except for category M1 and M2 UEs), if UE supports SRVCC to EUTRAN from GERAN.",Yes
10,- EUTRA RRC_CONNECTED to GERAN (Packet_) Idle by Cell Change Order- EUTRA RRC_CONNECTED to GERAN (Packet_) Idle by Cell Change Order with NACC (Network Assisted Cell Change),,,Yes
