UE-EUTRA-Capability field descriptions,,FDD/ TDD diff
a4-a5-ReportOnLeaveSupportIndicates whether the UE supports a4-a5-ReportOnLeave in the report configuration.,,-
accessStratumReleaseThis field indicates the release supported by the UE. NOTE 7.,,-
additionalRx-Tx-PerformanceReqIndicates whether the UE supports the additional Rx and Tx performance requirement for a given band combination as specified in TS 36.101 [42].,,-
addSRSPresence of this field indicates the UE supports the additional SRS symbol(s) within the normal UL subframes in TDD as described in TS 36.213 [23].,,-
addSRS-1T2RIndicates whether the UE supports selecting one antenna among two antennas to transmit additional SRS symbol(s) for the corresponding band of the band combination as described in TS 36.213 [23].,,-
addSRS-1T4RIndicates whether the UE supports selecting one antenna among four antennas to transmit additional SRS symbol(s) for the corresponding band of the band combination as described in TS 36.213 [23].,,-
addSRS-2T4R-2PairsIndicates whether the UE supports selecting one antenna pair between two antenna pairs to transmit additional SRS symbol(s) simultaneously for the corresponding band of the band combination as described in TS 36.213 [23].,,-
addSRS-2T4R-3PairsIndicates whether the UE supports selecting one antenna pair among three antenna pairs to transmit additional SRS symbol(s) simultaneously for the corresponding band of the band combination as described in TS 36.213 [23].,,-
addSRS-AntennaSwitching (in addSRS)Value useBasic indicates the antenna switching capabilities for additional SRS symbol(s) for a band of band combination for which the capability is not signalled in bandParameterList-v1610 is the same as indicated by bandParameterList-v1380 and/or bandParameterList-v1530 for the concerned band of band combination.,,-
"addSRS-AntennaSwitching (in bandParameterList-v1610)If signalled, the field indicates the antenna switching capabilities for additional SRS symbol(s) for the concerned band of band combination.",,-
"addSRS-CarrierSwitching (in addSRS)Indicates whether carrier switching is supported for additional SRS symbol(s) for all band pairs of band combinations for which UE supports SRS carrier switching. This field is included only if srs-CapabilityPerBandPairList-r14 is included. If this field is included, addSRS-CarrierSwitching (in bandParameterList-v1610) is not included.",,-
"addSRS-CarrierSwitching (in bandParameterList-v1610)Indicates whether carrier switching is supported for additional SRS symbol(s) for the concerned band pair of band combination. This field is included only if srs-CapabilityPerBandPairList-r14 is included.If this field is included, addSRS-CarrierSwitching (in addSRS) is not included.",,-
addSRS-FrequencyHopping (in addSRS)Indicates whether frequency hopping is supported for additional SRS symbol(s) for all bands of band combinations for which the capability is not signalled in bandParameterList-v1610.,,-
"addSRS-FrequencyHopping (in bandParameterList-v1610)If signalled, the field indicates whether frequency hopping is supported for additional SRS symbol(s) for the concerned band of band combination.",,-
allowedCellListIndicates whether the UE supports EUTRA allowed-cell listing to limit the set of cells applicable for measurements.,,-
alternativeTBS-IndicesIndicates whether the UE supports alternative TBS indices ITBS 26A and 33A as specified in TS 36.213 [23].,,-
alternativeTBS-IndexIndicates whether the UE supports alternative TBS index ITBS 33B as specified in TS 36.213 [23].,,No
alternativeTimeToTriggerIndicates whether the UE supports alternativeTimeToTrigger.,,No
altFreqPriorityIndicates whether the UE supports alternative cell reselection priority.,,No
altMCS-TableIndicates whether the UE supports the 6-bit MCS table as specified in TS 36.212 [22] and TS 36.213 [23].,,Yes
"aperiodicCSI-ReportingIndicates whether the UE supports aperiodic CSI reporting with 3 bits of the CSI request field size as specified in TS 36.213 [23], clause 7.2.1 and/or aperiodic CSI reporting mode 1-0 and mode 1-1 as specified in TS 36.213 [23], clause 7.2.1. The first bit is set to ""1"" if the UE supports the aperiodic CSI reporting with 3 bits of the CSI request field size. The second bit is set to ""1"" if the UE supports the aperiodic CSI reporting mode 1-0 and mode 1-1.",,No
"aperiodicCsi-ReportingSTTIIndicates whether the UE supports aperiodic CSI reporting for short TTI as specified in TS 36.213 [23], clause 7.2.1.",,Yes
"appliedCapabilityFilterCommonContains the filter, applied by the UE, common for all MR-DC related capability containers that are requested and as defined by UE-CapabilityRequestFilterCommon IE in TS 38.331 [82].",,-
assistInfoBitForLCIndicates whether the UE supports assistance information bit for local cache.,,-
aulIndicates whether the UE supports AUL as specified n TS 36.321 [6].,,-
bandCombinationListEUTRAOne entry corresponding to each supported band combination listed in the same order as in supportedBandCombination.,,-
"BandCombinationParameters-v1090, BandCombinationParameters-v10i0, BandCombinationParameters-v1270If included, the UE shall include the same number of entries, and listed in the same order, as in BandCombinationParameters-r10.",,-
"BandCombinationParameters-v1130The field is applicable to each supported CA bandwidth class combination (i.e. CA configuration in TS 36.101 [42], clause 5.6A.1) indicated in the corresponding band combination. If included, the UE shall include the same number of entries, and listed in the same order, as in BandCombinationParameters-r10.",,-
"bandEUTRAEUTRA band as defined in TS 36.101 [42] and TS 36.102 [113] for NTN capable UE. In case the UE includes bandEUTRA-v9e0 or bandEUTRA-v1090, the UE shall set the corresponding entry of bandEUTRA (i.e. without suffix) or bandEUTRA-r10 respectively to maxFBI.",,-
"bandInfoNROne entry corresponding to each supported E-UTRA band listed in the same order as in supportedBandListEUTRA. If bandInfoNR-r16 is absent, network assumes gap is required when measurement is performed on any NR bands while UE is served by a single E-UTRA carrier belonging to the corresponding E-UTRA band listed in supportedBandListEUTRA except for the FR2 inter-RAT measurement which depends on the support of independentGapConfig or gaplessMeas-FR2-maxCC.",,-
bandListEUTRAOne entry corresponding to each supported EUTRA band listed in the same order as in supportedBandListEUTRA.,,-
"bandParameterList-v1380If included, the UE shall include the same number of entries listed in the same order as the band entries in the corresponding band combination.",,-
"bandParametersUL, bandParametersDLIndicates the supported parameters for the band. Each of CA-MIMO-ParametersUL and CA-MIMO-ParametersDL can be included only once for one band in a single band combination entry.",,-
"beamformed (in MIMO-CA-ParametersPerBoBCPerTM)If signalled, the field indicates for a particular transmission mode, the UE capabilities concerning beamformed EBF/ FD-MIMO operation (class B) applicable for the concerned band combination.",,-
"beamformed (in MIMO-UE-ParametersPerTM)Indicates for a particular transmission mode, the UE capabilities concerning beamformed EBF/ FD-MIMO operation (class B) applicable for band combinations for which the concerned capabilities are not signalled.",,Yes
"benefitsFromInterruptionIndicates whether the UE power consumption would benefit from being allowed to cause interruptions to serving cells when performing measurements of deactivated SCell carriers for measCycleSCell of less than 640ms, as specified in TS 36.133 [16].",,No
bwPrefIndIndicates whether the UE supports maximum PDSCH/PUSCH bandwidth preference indication.,,-
"ca-BandwidthClassThe CA bandwidth class supported by the UE as defined in TS 36.101 [42], Table 5.6A-1.The UE explicitly includes all the supported CA bandwidth class combinations in the band combination signalling. Support for one CA bandwidth class does not implicitly indicate support for another CA bandwidth class.",,-
ca-IdleModeMeasurementsIndicates whether UE supports reporting measurements performed during RRC_IDLE.,,-
ca-IdleModeValidityAreaIndicates whether UE supports validity area for IDLE measurements during RRC_IDLE.,,-
"cas-Muting-5GBIndicates, for the corresponding E-UTRA band, whether the UE supports reception of LTE-based 5G broadcast with CAS muting from an MBMS-dedicated cell as described in TS 36.211 [21].",,-
"cch-IM-RefRecTypeA-OneRX-PortThis field defines whether the DL Category 1bis or the DL Category M2 UE supports Type A downlink control channel interference mitigation (CCH-IM) receiver ""LMMSE-IRC + CRS-IC"" for PDCCH/PCFICH/PHICH/EPDCCH receive processing (Enhanced downlink control channel performance requirements Type A in TS 36.101 [6]).",,No
"cch-InterfMitigation-RefRecTypeA, cch-InterfMitigation-RefRecTypeB, cch-InterfMitigation-MaxNumCCsThe field cch-InterfMitigation-RefRecTypeA defines whether the UE supports Type A downlink control channel interference mitigation (CCH-IM) receiver ""LMMSE-IRC + CRS-IC"" for PDCCH/PCFICH/PHICH/EPDCCH receive processing (Enhanced downlink control channel performance requirements Type A in the TS 36.101 [6]). The field cch-InterfMitigation-RefRecTypeB defines whether the UE supports Type B downlink CCH-IM receiver ""E-LMMSE-IRC + CRS-IC"" for PDCCH/PCFICH/PHICH receive processing in synchronous networks (Enhanced downlink control channel performance requirements Type B in the TS 36.101 [6]). The UE supporting the capability defined by cch-InterfMitigation-RefRecTypeB-r13 shall also support the capability defined by cch-InterfMitigation-RefRecTypeA-r13.If the UE sets one or more of the fields cch-InterfMitigation-RefRecTypeA and cch-InterfMitigation-RefRecTypeB to ""supported"", the UE shall include the parameter cch-InterfMitigation-MaxNumCCs to indicate that the UE supports CCH-IM on at least one arbitrary downlink CC for up to cch-InterfMitigation-MaxNumCCs downlink CC CA configuration. The UE shall not include the parameter cch-InterfMitigation-MaxNumCCs if neither cch-InterfMitigation-RefRecTypeA nor cch-InterfMitigation-RefRecTypeB is present. The UE may not perform CCH-IM on more than 1 DL CCs. For example, the UE sets ""cch-InterfMitigation-MaxNumCCs = 3"" to indicate that UE supports CCH-IM on at least one DL CC for supported non-CA, 2DL CA and 3DL CA configurations. For CA scenarios, the CCH-IM is guaranteed to be supported on at least one arbitrary component carrier.",,-
cdma2000-NW-SharingIndicates whether the UE supports network sharing for CDMA2000.,,-
"ce-ClosedLoopTxAntennaSelectionIndicates whether the UE supports UL closed-loop Tx antenna selection in CE mode A, as specified in TS 36.212 [22].",,Yes
ce-CQI-AlternativeTableIndicates whether the UE supports alternative CQI table in CE mode A. See TS 36.213 [22].,,Yes
"ce-CRS-IntfMitigIndicates whether UE supports CRS interference mitigation, i.e., value supported indicates UE does not rely on the CRS outside certain PRBs and subframes as defined in TS 36.133 [16], clauses 3.6.1.2 and 3.6.1.3, and TS 36.213 [23] when operating in coverage enhancement mode.",,Yes
"ce-CSI-RS-FeedbackIndicates whether the UE supports CSI-RS based feedback when the UE is operating in CE mode A, as specified in TS 36.213 [23].",,Yes
"ce-CSI-RS-FeedbackCodebookRestrictionIndicates whether the UE supports CSI-RS based feedback with codebook subset restriction when the UE in CE is operating in CE mode A, as specified in TS 36.213 [23].",,Yes
ce-DL-ChannelQualityReportingIndicates whether UE operating in CE mode supports aperiodic DL channel quality reporting in RRC_CONNECTED.,,Yes
ce-EUTRA-5GCIndicates whether the UE operating in CE mode A or B supports E-UTRA/5GC.,,Yes
ce-EUTRA-5GC-HO-ToNR-FDD-FR1Indicates whether the UE operating in CE mode A or B supports handover from E-UTRA/5GC to NR FDD FR1.,,Yes
ce-EUTRA-5GC-HO-ToNR-TDD-FR1Indicates whether the UE operating in CE mode A or B supports handover from E-UTRA/5GC to NR TDD FR1.,,Yes
ce-EUTRA-5GC-HO-ToNR-FDD-FR2Indicates whether the UE operating in CE mode A or B supports handover from E-UTRA/5GC to NR FDD FR2.,,Yes
ce-EUTRA-5GC-HO-ToNR-TDD-FR2Indicates whether the UE operating in CE mode A or B supports handover from E-UTRA/5GC to NR TDD FR2-1.,,Yes
ce-EUTRA-5GC-HO-ToNR-TDD-FR2-2Indicates whether the UE operating in CE mode A or B supports handover from E-UTRA/5GC to NR TDD FR2-2.,,-
