UE-EUTRA-Capability field descriptions,,FDD/ TDD diff
"maxNumberEHC-ContextsDefines the maximum number of Ethernet header compression contexts supported by the UE across all DRBs and across UE's EHC compressor and EHC decompressor. The indicated number defines the number of contexts in addition to CID = ""all zeros"" as specified in Annex A of TS 38.323 [83].",,No
"maxNumberROHC-ContextSessionsSet to the maximum number of concurrently active ROHC contexts supported by the UE, excluding context sessions that leave all headers uncompressed. cs2 corresponds with 2 (context sessions), cs4 corresponds with 4 and so on. The network ignores this field if the UE supports none of the ROHC profiles in supportedROHC-Profiles. If the UE indicates both maxNumberROHC-ContextSessions and maxNumberROHC-ContextSessions-r14, same value shall be indicated.",,-
"maxNumberUpdatedCSI-Proc, maxNumberUpdatedCSI-Proc-SPTIndicates the maximum number of CSI processes to be updated across CCs.",,No
"maxNumberUpdatedCSI-Proc-STTI-Comb77, maxNumberUpdatedCSI-Proc-STTI-Comb27, maxNumberUpdatedCSI-Proc-STTI-Comb22-Set1, maxNumberUpdatedCSI-Proc-STTI-Comb22-Set2Indicates the maximum number of CSI processes to be updated across CCs. Comb77 is applicable for {slot, slot}, Comb27 for {subslot, slot}, Comb22-Set1 for{subslot, subslot} processing timeline set 1 and the Comb22-Set2 for {subslot, subslot} processing timeline set 2.",,
"mbms-AsyncDCIndicates whether the UE in RRC_CONNECTED supports MBMS reception via MRB on a frequency indicated in an MBMSInterestIndication message, where (according to supportedBandCombination) the carriers that are or can be configured as serving cells in the MCG and the SCG are not synchronized. If this field is included, the UE shall also include mbms-SCell and mbms-NonServingCell. The field indicates that the UE supports the feature for xDD if mbms-SCell and mbms-NonServingCell are supported for xDD.",,-
"mbms-MaxBWIndicates maximum supported bandwidth (T) for MBMS reception, see TS 36.213 [23]. clause 11.1. If the value is set to implicitValue, the corresponding value of T is calculated as specified in TS 36.213 [23], clause 11.1. If the value is set to explicitValue, the actual value of T = explicitValue * 40 MHz.",,-
"mbms-NonServingCellIndicates whether the UE in RRC_CONNECTED supports MBMS reception via MRB on a frequency indicated in an MBMSInterestIndication message, where (according to supportedBandCombination and to network synchronization properties) a serving cell may be additionally configured. If this field is included, the UE shall also include the mbms-SCell field.",,Yes
"mbms-ScalingFactor1dot25, mbms-ScalingFactor7dot5Indicates parameter A(1.25 / A(7.5, i.e., scaling factor for processing one unit of bandwidth corresponding to subcarrier spacing of 1.25 kHz / 7.5 kHz, with respect to one unit of bandwidth corresponding to subcarrier spacing of 15 kHz. See TS 36.213 [23], clause 11.1. This field is included only if subcarrierSpacingMBMS-khz1dot25 / subcarrierSpacingMBMS-khz7dot5 is included. This field shall be included if mbms-MaxBW and subcarrierSpacingMBMS-khz1dot25 / subcarrierSpacingMBMS-khz7dot5 are included.",,-
"mbms-ScalingFactor0dot37, mbms-ScalingFactor2dot5Indicates parameter A(0.37 / A(2..5, i.e., scaling factor for processing one unit of bandwidth corresponding to subcarrier spacing of 0.37 kHz / 2.5 kHz, with respect to one unit of bandwidth corresponding to subcarrier spacing of 15 kHz. See TS 36.213 [23], clause 11.1. This field is included only if fembmsMixedCell or fembmsDedicatedCell is included. This field shall be included if subcarrierSpacingMBMS-khz0dot37 / subcarrierSpacingMBMS-khz2dot5 is included for at least one E-UTRA band in mbms-SupportedBandInfoList.",,-
"mbms-SCellIndicates whether the UE in RRC_CONNECTED supports MBMS reception via MRB on a frequency indicated in an MBMSInterestIndication message, when an SCell is configured on that frequency (regardless of whether the SCell is activated or deactivated).",,Yes
"mbms-SupportedBandInfoListOne entry corresponding to each supported E-UTRA band listed in the same order as in supportedBandListEUTRA. This list is included only if fembmsMixedCell or fembmsDedicatedCell is included. If mbms-SupportedBandInfoList-v1700 is included, the UE shall include the same number of entries, and listed in the same order, as in mbms-SupportedBandInfoList-r16. If mbms-SupportedBandInfoList-v1900 is included, the UE shall include the same number of entries, and listed in the same order, as in mbms-SupportedBandInfoList-r16.",,-
mcgRLF-RecoveryViaSCGIndicates whether the UE supports recovery from MCG RLF via split SRB1 (if supported) and via SRB3 (if supported).,,-
"measGapPatterns-NRonlyIndicates whether the UE supports gap patterns 2, 3 and 11 in LTE standalone when the frequencies to be measured within this measurement gap are all NR frequencies.",,No
"measGapPatterns-NRonly-ENDCIndicates whether the UE supports gap patterns 2, 3 and 11 in (NG)EN-DC when the frequencies to be measured within this measurement gap are all NR frequencies.",,No
measurementEnhancementsThis field defines whether UE supports measurement enhancements in high speed scenario (350 km/h) as specified in TS 36.133 [16].,,-
measurementEnhancements2This field defines whether UE supports measurement enhancements in high speed scenario (up to 500 km/h velocity) as specified in TS 36.133 [16].,,-
measurementEnhancementsSCellThis field defines whether UE supports SCell measurement enhancements in high speed scenario (350 km/h) as specified in TS 36.133 [16].,,-
"measGapInfoNROne entry corresponding to each supported E-UTRA band or band combination listed in the same order as in supportedBandCombination-r10 or supportedBandCombinationAdd-r11 or supportedBandCombinationReduced-r13. If absent, network assumes gap is required when measurement is performed on any NR bands while UE is served by cells belonging to the corresponding E-UTRA band or band combination listed in supportedBandCombination-r10 or supportedBandCombinationAdd-r11 or supportedBandCombinationReduced-r13 except for the FR2 inter-RAT measurement which depends on the support of independentGapConfig or gaplessMeas-FR2-maxCC.",,-
"measGapPatternsIndicates whether the UE that supports NR supports gap patterns 4 to 11 in LTE standalone as specified in TS 36.133 [16], and for independent measurement gap configuration on FR1 and per-UE gap in (NG)EN-DC as specified in TS 38.133 [84]. The first/ leftmost bit covers pattern 4, and so on. Value 1 indicates that the UE supports the concerned gap pattern.",,-
"measGapPatterns-NRonlyIndicates whether the UE supports gap patterns 2, 3 and 11 in LTE standalone when the frequencies to be measured within this measurement gap are all NR frequencies.",,No
"measGapPatterns-NRonly-ENDCIndicates whether the UE supports gap patterns 2, 3 and 11 in (NG)EN-DC when the frequencies to be measured within this measurement gap are all NR frequencies.",,No
"mfbi-UTRAIt indicates if the UE supports the signalling requirements of multiple radio frequency bands in a UTRA FDD cell, as defined in TS 25.307 [65].",,-
"MIMO-BeamformedCapabilityListA list of pairs of {k-Max, n-MaxList} values with the nth entry indicating the values that the UE supports for each CSI process in case n CSI processes would be configured.",,No
MIMO-CapabilityDLThe number of supported layers for spatial multiplexing in DL. The field may be absent for category 0 and category 1 UE in which case the number of supported layers is 1.,,-
MIMO-CapabilityULThe number of supported layers for spatial multiplexing in UL. Absence of the field means that the number of supported layers is 1.,,-
"MIMO-CA-ParametersPerBoBCA set of MIMO parameters provided per band of a band combination. In case a subfield is absent, the concerned capabilities are the same as indicated at the per UE level (i.e. by MIMO-UE-ParametersPerTM).",,-
"mimo-CBSR-AdvancedCSIIndicates whether UE supports CBSR for advanced CSI reporting with and without amplitude restriction as defined in TS 36.213 [23], clause 7.2.",,Yes
"min-Proc-TimelineSubslotMinimum processing timeline for subslot operation. The minimum processing timeline can belong to one of two sets of associated processing and maximum TA operation. The sets supported can be different for 1os CRS-based SPDCCH, 2os CRS-based SPDCCH and DMRS-based SPDCCH. The sequence applies to:1. 1os CRS based SPDCCH2. 2os CRS based SPDCCH3. DMRS based SPDCCH",,-
"modifiedMPR-BehaviorField encoded as a bit map, where at least one bit N is set to ""1"" if UE supports modified MPR/A-MPR behaviour N, see TS 36.101 [42]. All remaining bits of the field are set to ""0"". The leading / leftmost bit (bit 0) corresponds to modified MPR/A-MPR behaviour 0, the next bit corresponds to modified MPR/A-MPR behaviour 1 and so on.Absence of this field means that UE does not support any modified MPR/A-MPR behaviour.",,-
"mpdcch-InLteControlRegionCE-ModeA, mpdcch-InLteControlRegionCE-ModeBIndicates whether UE operating in CE mode A/B supports MPDCCH reception in LTE control channel region as specified in TS 36.211 [21].",,Yes
mpsPriorityIndicationIndicates whether the UE supports mpsPriorityIndication on release with redirect.,,-
multiACK-CSI-reportingIndicates whether the UE supports multi-cell HARQ ACK and periodic CSI reporting and SR on PUCCH format 3.,,Yes
multiBandInfoReportIndicates whether the UE supports the acquisition and reporting of multi band information for reportCGI.,,-
multiClusterPUSCH-WithinCC,,Yes
multiNS-PmaxIndicates whether the UE supports the mechanisms defined for cells broadcasting NS-PmaxList.,,-
multiNS-PmaxAerialIndicates whether the UE supports the mechanisms defined for cells broadcasting NS-PmaxListAerial and freqBandInfoAerial.,,-
multipleCellsMeasExtensionIndicates whether the UE supports numberOfTriggeringCells in the report configuration.,,-
"multipleTimingAdvanceIndicates whether the UE supports multiple timing advances for each band combination listed in supportedBandCombination. If the band combination comprised of more than one band entry (i.e., inter-band or intra-band non-contiguous band combination), the field indicates that the same or different timing advances on different band entries are supported. If the band combination comprised of one band entry (i.e., intra-band contiguous band combination), the field indicates that the same or different timing advances across component carriers of the band entry are supported. It is mandatory for UEs to support 2 TAGs for inter frequency DAPS handover.",,-
"multipleUplinkSPSIndicates whether the UE supports multiple uplink SPS and reporting SPS assistance information. A UE indicating multipleUplinkSPS shall also support V2X communication via Uu, as defined in TS 36.300 [9].",,-
"must-CapabilityPerBandIndicates that UE supports MUST, as specified in 36.212 [22], clause 5.3.3.1, on the band in the band combination.",,-
must-TM234-UpTo2Tx-r14Indicates that the UE supports MUST operation for TM2/3/4 using up to 2Tx.,,-
must-TM89-UpToOneInterferingLayer-r14Indicates that the UE supports MUST operation for TM8/9 with assistance information for up to 1 interfering layer.,,-
must-TM89-UpToThreeInterferingLayers-r14Indicates that the UE supports MUST operation for TM8/9 with assistance information for up to 3 interfering layers.,,-
must-TM10-UpToOneInterferingLayer-r14Indicates that the UE supports MUST operation for TM10 with assistance information for up to 1 interfering layer.,,-
must-TM10-UpToThreeInterferingLayers-r14Indicates that the UE supports MUST operation for TM10 with assistance information for up to 3 interfering layers.,,-
"naics-Capability-ListIndicates that UE supports NAICS, i.e. receiving assistance information from serving cell and using it to cancel or suppress interference of neighbouring cell(s) for at least one band combination. If not present, UE does not support NAICS for any band combination. The field numberOfNAICS-CapableCC indicates the number of component carriers where the NAICS processing is supported and the field numberOfAggregatedPRB indicates the maximum aggregated bandwidth across these of component carriers (expressed as a number of PRBs) with the restriction that NAICS is only supported over the full carrier bandwidth. The UE shall indicate the combination of {numberOfNAICS-CapableCC, numberOfNAICS-CapableCC} for every supported numberOfNAICS-CapableCC, e.g. if a UE supports {x CC, y PRBs} and {x-n CC, y-m PRBs} where n>=1 and m>=0, the UE shall indicate both.-For numberOfNAICS-CapableCC = 1, UE signals one value for numberOfAggregatedPRB from the range {50, 75, 100};-For numberOfNAICS-CapableCC = 2, UE signals one value for numberOfAggregatedPRB from the range {50, 75, 100, 125, 150, 175, 200};-For numberOfNAICS-CapableCC = 3, UE signals one value for numberOfAggregatedPRB from the range {50, 75, 100, 125, 150, 175, 200, 225, 250, 275, 300};-For numberOfNAICS-CapableCC = 4, UE signals one value for numberOfAggregatedPRB from the range {50, 100, 150, 200, 250, 300, 350, 400};-For numberOfNAICS-CapableCC = 5, UE signals one value for numberOfAggregatedPRB from the range {50, 100, 150, 200, 250, 300, 350, 400, 450, 500}.",,No
"ncsgIndicates whether the UE supports measurement NCSG Pattern Id 0, 1, 2 and 3, as specified in TS 36.133 [16]. If this field is included and the UE supports asynchronous DC, the UE shall support NCSG Pattern Id 0, 1, 2 and 3. If this field is included but the UE does not support asynchronous DC, only NCSG Pattern Id 0 and 1 shall be supported",,No
ng-EN-DCIndicates whether the UE supports NGEN-DC.,,-
"n-MaxList (in MIMO-UE-ParametersPerTM)Indicates for a particular transmission mode the maximum number of NZP CSI RS ports supported within a CSI process applicable for band combinations for which the concerned capabilities are not signalled. For k-Max values exceeding 1, the UE shall include the field and signal k-Max minus 1 bits. The first bit indicates n-Max2, with value 0 indicating 8 and value 1 indicating 16. The second bit indicates n-Max3, with value 0 indicating 8 and value 1 indicating 16. The third bit indicates n-Max4, with value 0 indicating 8 and value 1 indicating 32. The fourth bit indicates n-Max5, with value 0 indicating 16 and value 1 indicating 32. The fifth bit indicates n-Max6, with value 0 indicating 16 and value 1 indicating 32. The sixt bit indicates n-Max7, with value 0 indicating 16 and value 1 indicating 32. The seventh bit indicates n-Max8, with value 0 indicating 16 and value 1 indicating 64.",,Yes
"n-MaxList (in MIMO-CA-ParametersPerBoBCPerTM)If signalled, the field indicates for a particular transmission mode the maximum number of NZP CSI RS ports supported within a CSI process applicable for band the concerned combination. Further details are as indicated for n-MaxList in MIMO-UE-ParametersPerTM.",,No
NonContiguousUL-RA-WithinCC-ListOne entry corresponding to each supported E-UTRA band listed in the same order as in supportedBandListEUTRA.,,No
"nonPrecoded (in MIMO-CA-ParametersPerBoBCPerTM)If signalled, the field indicates for a particular transmission mode, the UE capabilities concerning non-precoded EBF/ FD-MIMO operation (class A) applicable for the concerned band combination.",,-
"nonPrecoded (in MIMO-UE-ParametersPerTM)Indicates for a particular transmission mode the UE capabilities concerning non-precoded EBF/ FD-MIMO operation (class A) for band combinations for which the concerned capabilities are not signalled in MIMO-CA-ParametersPerBoBCPerTM, and the FD-MIMO processing capability condition as described in NOTE 8 is satisfied.",,Yes
"nonUniformGapIndicates whether the UE supports measurement non uniform Pattern Id 1, 2, 3 and 4 in LTE standalone as specified in TS 36.133 [16].",,No
noResourceRestrictionForTTIBundlingIndicate whether the UE supports TTI bundling operation without resource allocation restriction.,,No
nonCSG-SI-ReportingIndicates whether UE will report PLMN list from non-CSG cells.,,-
"nr-AutonomousGaps-ENDC-FR1Indicates whether the UE supports, upon configuration of useAutonomousGapsNR by the network, acquisition of relevant information from a neighbouring NR cell by reading the SI of the neighbouring cell on FR1 using autonomous gaps and reporting the acquired information to the network when it is configured with (NG)EN-DC.",,Yes
"nr-AutonomousGaps-ENDC-FR2Indicates whether the UE supports, upon configuration of useAutonomousGapsNR by the network, acquisition of relevant information from a neighbouring NR cell by reading the SI of the neighbouring cell on FR2 using autonomous gaps and reporting the acquired information to the network when it is configured with (NG)EN-DC.",,Yes
"nr-AutonomousGaps-FR1Indicates whether the UE supports, upon configuration of useAutonomousGapsNR by the network, acquisition of relevant information from a neighbouring NR cell by reading the SI of the neighbouring cell on FR1 using autonomous gaps and reporting the acquired information to the network when it is not configured with (NG)EN-DC.",,Yes
"nr-AutonomousGaps-FR2Indicates whether the UE supports, upon configuration of useAutonomousGapsNR by the network, acquisition of relevant information from a neighbouring NR cell by reading the SI of the neighbouring cell on FR2 using autonomous gaps and reporting the acquired information to the network when it is not configured with (NG)EN-DC.",,Yes
nr-CellIndividualOffsetIndicates whether the UE supports use of cell specific offset for NR inter-RAT measurements.,,No
nr-HO-ToEN-DCIndicates whether the UE supports inter-RAT handover from NR to EN-DC while NR-DC or NE-DC is not configured. This field is mandatory present if EN-DC is supported.,,-
"nr-IdleInactiveBeamMeasFR1Indicates whether the UE supports performing eNB-configured SSB-based beam level RRM measurements for configured NR FR1 carrier(s) in RRC_IDLE and in RRC_INACTIVE as specified in TS 36.306 [5], clause 4.3.6.46.",,No
"nr-IdleInactiveBeamMeasFR2Indicates whether the UE supports performing eNB-configured SSB-based beam level RRM measurements for configured NR FR2 carrier(s) in RRC_IDLE and in RRC_INACTIVE as specified in TS 36.306 [5], clause 4.3.6.47.",,No
nr-IdleInactiveMeasFR1Indicates whether UE supports reporting measurements performed on NR FR1 carrier(s) during RRC_IDLE and RRC_INACTIVE.,,No
nr-IdleInactiveMeasFR2Indicates whether UE supports reporting measurements performed on NR FR2 carrier(s) during RRC_IDLE and RRC_INACTIVE.,,No
nr-RSSI-ChannelOccupancyReportingIndicates whether the UE supports performing measurements and reporting of RSSI and channel occupancy on the corresponding NR band.,,-
ntn-Autonomous-GNSS-FixThis field indicates whether the UE supports autonomous GNSS position fix in RRC_CONNECTED.,,-
"ntn-Connectivity-EPCIndicates whether the UE supports NTN access when connected to EPC. If the UE indicates this capability, the UE shall support all NTN essential features as specified in TS 36.306 [5].",,-
ntn-DCI-HarqDisableMultiTB-CE-ModeBThis field indicates whether the UE supports DCI-based HARQ feedback disabling for downlink transmission when HARQ feedback disabling per HARQ process for downlink transmission is not configured by RRC and the UE is operating in CE mode B and when configured with ce-PDSCH-MultiTB-Config.,,-
ntn-DCI-HarqDisableSingleTB-CE-ModeBThis field indicates whether the UE supports DCI-based HARQ feedback disabling for downlink transmission when HARQ feedback disabling per HARQ process for downlink transmission is not configured by RRC and when the UE is operating in CE mode B.,,-
"ntn-EventA4BasedCHOThis field indicates whether the UE supports Event A4-based conditional handover, i.e., CondEvent A4.",,-
"ntn-GNSS-EnhScenarioSupportThis field indicates whether the UE supports GNSS measurement and UL transmission extension enhancements in RRC_CONNECTED for only GSO or NGSO scenario. If this field is not included, the GNSS measurement and UL transmission extension enhancements in RRC_CONNECTED that are indicated as supported are applicable for both GSO and NGSO scenario.",,-
"ntn-HarqEnhScenarioSupportThis field indicates whether the UE supports UL and DL HARQ process enhancements for only GSO or NGSO scenario. If this field is not included, the UL and DL HARQ process enhancements that are indicated as supported are applicable for both GSO and NGSO scenario.",,-
"ntn-IdleMobilityForNRIndicates whether the UE supports the inter-RAT redirection from an E-UTRA terrestrial network cell to an NR NTN cell and receiving dedicated priority of NR NTN frequency for cell reselection, see TS 36.304 [4].",,-
"ntn-LocationBasedCHO-EFCThis field indicates whether the UE supports location-based conditional handover for earth fixed cell, i.e., CondEvent D1.",,-
"ntn-LocationBasedCHO-EMCThis field indicates whether the UE supports location-based conditional handover for earth moving cell, i.e., CondEvent D2.",,-
ntn-LocationBasedMeasTrigger-EFCThis field indicates whether the UE supports location-based measurement trigger in RRC_CONNECTED in earth fixed cell.,,-
ntn-LocationBasedMeasTrigger-EMCThis field indicates whether the UE supports location-based measurement trigger in RRC_CONNECTED in earth moving cell.,,-
ntn-MO-CB-Msg3-EDT-UPThis field indicates whether the UE supports MO contention-based Msg3 EDT for User Plane CIoT EPS optimizations.,,-
ntn-OffsetTimingEnhIndicates whether the UE supports timing relationship enhancement using Differential Koffset as specified in TS 36.321 [6] and TS 36.213 [23].,,-
ntn-OverriddenHarqDisableMultiTB-CE-ModeBThis field indicates whether the UE supports DCI-based HARQ feedback disabling for downlink transmission by overriding the RRC configuration when the UE is operating in CE mode B and when configured with ce-PDSCH-MultiTB-Config.,,-
ntn-OverriddenHarqDisableSingleTB-CE-ModeBThis field indicates whether the UE supports DCI-based HARQ feedback disabling for downlink transmission by overriding the RRC configuration when the UE is operating in CE mode B.,,-
"ntn-PUR-TimerDelayIndicates whether the UE supports delaying the start of the pur-ResponseWindowTimer for NTN, see TS 36.321 [6].",,-
ntn-RedirectionIndicates whether the UE supports intra-RAT redirection from a terrestrial network to a non-terrestrial network.,,-
ntn-Redirection-NBIndicates whether the UE supports redirection from an E-UTRAN terrestrial network to an NB-IoT non-terrestrial network.,,-
ntn-RRC-HarqDisableMultiTB-CE-ModeAThis field indicates whether the UE supports HARQ feedback disabling per HARQ process for downlink transmission by RRC configuration when the UE is operating in CE mode A and when configured with ce-PDSCH-MultiTB-Config.,,-
ntn-RRC-HarqDisableMultiTB-CE-ModeBThis field indicates whether the UE supports HARQ feedback disabling per HARQ process for downlink transmission by RRC configuration when the UE is operating in CE mode B and when configured with ce-PDSCH-MultiTB-Config.,,-
ntn-RRC-HarqDisableSingleTB-CE-ModeAThis field indicates whether the UE supports HARQ feedback disabling per HARQ process for downlink transmission by RRC configuration when the UE is operating in CE mode A.,,-
ntn-RRC-HarqDisableSingleTB-CE-ModeBThis field indicates whether the UE supports HARQ feedback disabling per HARQ process for downlink transmission by RRC configuration when the UE is operating in CE mode B.,,-
"ntn-SegmentedPrecompensationGapsIndicates the minumum supported gap length between segments for segmented uplink transmission. Value sym1 corresponds to 1 symbol, value sl1 corresponds to 1 slot, value sf1 corresponds to 1 subframe.",,-
"ntn-ScenarioSupportIndicates whether the UE supports NTN features only for GSO or NGSO scenario. If a UE does not include this field but includes ntn-Connectivity-EPC-r17, the UE supports the NTN features for both GSO and NGSO scenarios.",,-
ntn-SemiStaticHarqDisableSPSThis field indicates whether the UE supports HARQ feedback transmission for the first SPS PDSCH transmission after activation when the UE is operating in CE mode A.,,-
ntn-SF-ModeThis field indicates whether the UE supports Store and Forward Satellite operation mode.,,-
"ntn-TA-reportIndicates whether the UE supports timing advance reporting in RRC_CONNECTED, see TS 36.321 [6].",,-
"ntn-TimeBasedCHOThis field indicates whether the UE supports time-based conditional handover, i.e., CondEvent T1.",,-
ntn-TimeBasedMeasTriggerThis field indicates whether the UE supports time-based measurement trigger in RRC_CONNECTED.,,-
ntn-Triggered-GNSS-FixThis field indicates whether the UE supports network triggered GNSS position fix in RRC_CONNECTED.,,-
"ntn-UplinkHarq-ModeB-MultiTBThis field indicates whether the UE supports HARQ Mode B when scheduled with uplink transmission of multiple TBs. For BL UE or UE in CE, this field also indicates whether the UE supports the corresponding LCP restrictions for uplink transmission.",,-
"ntn-UplinkHarq-ModeB-SingleTBThis field indicates whether the UE supports HARQ Mode B. For BL UE or UE in CE, this field also indicates whether the UE supports the corresponding LCP restrictions for uplink transmission.",,-
ntn-UplinkTxExtensionThis field indicates whether the UE supports to perform UL transmission in a duration after original GNSS validity duration expires without GNSS re-acquisition.,,-
numberOfBlindDecodesUSSIndicates the maximum number of blind decodes in UE specific search space in one subframe for CCs configured with sTTI operation supported by the UE. The number of blind decodes supported by the UE is the field value X*68. Field value ranges from 4 to 32.,,Yes
nzp-CSI-RS-AperiodicInfoIndicates whether the UE supports aperiodic NZP CSI-RS transmission for the indicated transmission mode.,,Yes
nzp-CSI-RS-PeriodicInfoIndicates whether the UE supports periodic NZP CSI-RS transmission for the indicated transmission mode.,,Yes
"otdoa-UE-AssistedIndicates whether the UE supports UE-assisted OTDOA positioning, as specified in TS 36.355 [54].",,Yes
"outOfOrderDeliverySame as ""outOfOrderDelivery"" defined in TS 38.306 [87].",,No
outOfSequenceGrantHandlingIndicates whether the UE supports PUSCH transmissions with out of sequence UL grants as defined in TS 36.213 [23]. This field can be included only if uplinkLAA is included.,,-
overheatingIndIndicates whether the UE supports overheating assistance information.,,No
overheatingIndForSCGIndicates whether the UE supports the inclusion of NR SCG reduced configuration in the overheating assistance information. The UE which indicates support of overheatingIndForSCG shall also indicate support of overheatingInd.,,-
"pdcch-CandidateReductionsIndicates whether the UE supports PDCCH candidate reduction on UE specific search space as specified in TS 36.213 [23], clause 9.1.1.",,No
pdcp-DuplicationIndicates whether the UE supports PDCP duplication.,,-
pdcp-SN-ExtensionIndicates whether the UE supports 15 bit length of PDCP sequence number.,,-
pdcp-SN-Extension-18bitsIndicates whether the UE supports 18 bit length of PDCP sequence number.,,-
pdcp-TransferSplitULIndicates whether the UE supports PDCP data transfer split in UL for the drb-TypeSplit as specified in TS 36.323 [8].,,-
"pdcp-VersionChangeWithoutHOIndicates whether, the UE supports changing the PDCP version of DRBs, from LTE PDCP to NR PDCP and vice versa, with and without handover. A UE supporting PDCP version change shall signal field pdcp-Parameters-v1610. When the field pdcp-VersionChangeWithoutHO is not included and pdcp-Parameters-v1610 is included, it implies the UE supports PDCP version change only with handover.",,-
pdsch-CollisionHandlingIndicates whether the UE supports PDSCH collision handling as specified in TS 36.213 [23].,,No
"pdsch-InLteControlRegionCE-ModeA, pdsch-InLteControlRegionCE-ModeBIndicates whether UE operating in CE mode A/B supports PDSCH reception in LTE control channel region as specified in TS 36.211 [21].",,Yes
"pdsch-MultiTB-CE-ModeA, pdsch-MultiTB-CE-ModeBIndicates whether the UE supports multiple TB scheduling in connected mode for PDSCH when operating in CE mode A/B, as specified in TS 36.211 [21] and TS 36.213 [23].",,Yes
pdsch-RepSubframeIndicates whether the UE supports subframe PDSCH repetition.,,Yes
pdsch-RepSlotIndicates whether the UE supports slot PDSCH repetition.,,Yes
pdsch-RepSubslotIndicates whether the UE supports subslot PDSCH repetition. This field is only applicable for UEs supporting FDD.,,-
pdsch-SlotSubslotPDSCH-DecodingIndicates whether the UE supports decoding of PDSCH and slot-PDSCH/subslot-PDSCH assigned with C-RNTI/SPS C-RNTI in the same subframe for a given carrier.,,Yes
"perServingCellMeasurementGapIndicates whether the UE supports per serving cell measurement gap indication, as specified in TS 36.133 [16].",,-
"phy-TDD-ReConfig-FDD-PCellIndicates whether the UE supports TDD UL/DL reconfiguration for TDD serving cell(s) via monitoring PDCCH with eIMTA-RNTI on a FDD PCell, and HARQ feedback according to UL and DL HARQ reference configurations. This bit can only be set to supported only if the UE supports FDD PCell and phy-TDD-ReConfig-TDD-PCell is set to supported.",,No
"phy-TDD-ReConfig-TDD-PCellIndicates whether the UE supports TDD UL/DL reconfiguration for TDD serving cell(s) via monitoring PDCCH with eIMTA-RNTI on a TDD PCell, and HARQ feedback according to UL and DL HARQ reference configurations, and PUCCH format 3.",,Yes
"pmch-Bandwidth-n40, pmch-Bandwidth-n35, pmch-Bandwidth-n30Indicates, for the E‑UTRA band corresponding to the entry in mbms-SupportedBandInfoList-v1700, whether the UE in RRC_CONNECTED supports MBMS reception via MBSFN from MBMS-dedicated cells in an MBSFN area with PMCH bandwidth of 40/ 35/ 30 PRBs as described in TS 36.211 [21] and TS 36.213 [23].",-,
pmi-Disabling,,Yes
"powerClass-14dBmIndicates whether the UE supports power class 14 dBm when operating in CE mode A or B for all the bands that are supported by the UE, as specified in TS 36.101 [42].",,-
powerPrefIndIndicates whether the UE supports power preference indication.,,No
"powerUCI-SlotPUSCH, powerUCI-SubslotPUSCHIndicates whether the UE supports BPRE derivation based on the actual derived O_CQI. The parameter uplinkPower-CSIPayload configures the UE to derive BPRE based on either the actual value of O_CQI or the largest value of O_CQI across all RI values. If the UE does not support the capability, the UE will derive BPRE based on the largest value of O_CQI across all RI values.",,Yes
prach-EnhancementsThis field defines whether the UE supports random access preambles generated from restricted set type B in high speed scenoario as specified in TS 36.211 [21].,,-
"processingTimelineSetIndicates, for each SPDCCH configuration, support for a set of TA values. Each set consists of two different processing timelines and associated maximum TA. Set 1 indicates support for n+4 and n+6 and set 2 indicates support for n+6 and n+8, see TS 36.211 [21], clause 8.1, The minimum processing timeline to use, out of the two options for a given set is configured by parameter proc-Timeline. Support of Set 1 implicitly means support of Set 2.",,-
pucch-Format4Indicates whether the UE supports PUCCH format 4.,,Yes
pucch-Format5Indicates whether the UE supports PUCCH format 5.,,Yes
pucch-SCellIndicates whether the UE supports PUCCH on SCell.,,No
"pur-CP-EPC-CE-ModeA, pur-CP-EPC-CE-ModeB, pur-CP-5GC-CE-ModeA, pur-CP-5GC-CE-ModeBIndicates whether UE operating in CE mode A/B supports CP transmission using PUR when connected to EPC/ 5GC.",,Yes
pur-CP-L1AckIndicates whether UE supports L1 acknowledgement in response to CP transmission using PUR when connected to EPC/ 5GC.,,Yes
pur-FrequencyHoppingIndicates whether UE supports frequency hopping for transmission using PUR.,,Yes
"pur-PUSCH-NB-MaxTBSIndicates whether the UE supports 2984 bits max UL TBS in 1.4 MHz for transmission using PUR when operating in CE mode A, as specified in TS 36.212 [22] and TS 36.213 [23].",,Yes
pur-RSRP-ValidationIndicates whether UE supports serving cell RSRP for TA validation for transmission using PUR when connected to EPC/ 5GC.,,Yes
"pur-SubPRB-CE-ModeA, pur-SubPRB-CE-ModeBIndicates whether UE supports subPRB resource allocation for PUSCH for transmission using PUR when operating in CE mode A/B.",,Yes
"pur-UP-EPC-CE-ModeA, pur-UP-EPC-CE-ModeB, pur-UP-5GC-CE-ModeA, pur-UP-5GC-CE-ModeBIndicates whether UE operating in CE mode A/B supports UP transmission using PUR when connected to EPC/ 5GC.",,Yes
pusch-EnhancementsIndicates whether the UE supports the PUSCH enhancement mode as specified in TS 36.211 [21] and TS 36.213 [23].,,Yes
pusch-FeedbackModeIndicates whether the UE supports PUSCH feedback mode 3-2.,,No
"pusch-MultiTB-CE-ModeA, pusch-MultiTB-CE-ModeBIndicates whether the UE supports multiple TB scheduling in connected mode for PUSCH when operating in CE mode A/B, as specified in TS 36.211 [21] and TS 36.213 [23].",,Yes
