Conditional presence,Explanation
AI-r8,"The field is optionally present, need ON, if antennaInfoDedicated-r10 is absent. Otherwise the field is not present"
AI-r10,"The field is optionally present, need ON, if antennaInfoDedicated is absent. Otherwise the field is not present"
AperiodicSRS,"If soundingRS-UL-ConfigDedicatedAperiodic-r10 is absent, the field is optional, Need ON. Otherwise the field is not present and the UE shall delete any existing value for this field."
AperiodicSRSExt,"If soundingRS-UL-ConfigDedicatedAperiodicUpPTsExt-r13 is absent, the field is optional, Need ON. Otherwise the field is not present and the UE shall delete any existing value for this field."
AUL,"The field is optionally present, need ON, if aul-config-r15 is present. Otherwise the field is not present."
CommonUL,"The field is mandatory present if ul-Configuration of RadioResourceConfigCommonSCell-r10 is present; otherwise it is optional, need ON."
CQI-r8,"The field is optionally present, need ON, if cqi-ReportConfig-r10 is absent. Otherwise the field is not present"
CQI-r10,"The field is optionally present, need ON, if cqi-ReportConfig is absent. Otherwise the field is not present"
Cross-Carrier-Config,"The field is optionally present, need ON, if crossCarrierSchedulingConfig-r10 is absent. Otherwise the field is not present"
Cross-Carrier-ConfigUL,"The field is optionally present, need ON, if crossCarrierSchedulingConfig-r10 and crossCarrierSchedulingConfig-r13 are absent or schedulingCellInfo is set to 'own'. Otherwise the field is not present."
NTN,"The field is optionally present, Need ON, for NTN. Otherwise, the field is not present and the UE shall delete any existing value for this field."
PeriodicSRS,"If soundingRS-UL-ConfigDedicated-r10 is absent, the field is optional, Need ON. Otherwise the field is not present and the UE shall delete any existing value for this field."
PeriodicSRSPCell,"If soundingRS-UL-ConfigDedicated is absent, the field is optional, Need ON. Otherwise the field is not present and the UE shall delete any existing value for this field."
PeriodicSRSExt,"If soundingRS-UL-ConfigDedicatedUpPTsExt-r13 is absent, the field is optional, Need ON. Otherwise the field is not present and the UE shall delete any existing value for this field."
PUCCH-Format4or5,The field is mandatory present with pucch-Format-v1370 set to setup if pucch-ConfigDedicated-r13 is configured and pucch-ConfigDedicated-r13 indicates PUCCH format 4 or PUCCH format 5; otherwise it is not present and the UE shall delete any existing value for this field.
PUCCH-SCell1,"The field is optionally present, need OR, for SCell not configured with pucch-configDedicated-r13. Otherwise it is not present."
PUSCH-SCell,"The field is optionally present, need ON, if pusch-ConfigDedicatedSCell-r10 and pusch-ConfigDedicated-v1130 are absent. Otherwise the field is not present"
PUSCH-SCell1,"The field is optionally present, need ON, for SCell not configured with pucch-configDedicated-r13. Otherwise it is not present."
SCellAdd,"The field is mandatory present if cellIdentification is present; otherwise it is optional, need ON."
SRS-Trigger-TypeA,The field is mandatory present if typeA-SRS-TPC-PDCCH-Group-r14 is present. Otherwise the field is not present and the UE shall delete any existing value for this field.
