Conditional presence,Explanation
CRSIM,"The field is optionally present, need ON, if neighCellsCRS-Info-r11 is not present; otherwise it is not present."
CQI-ReportPeriodicSCell,"The field is optionally present, Need ON, if cqi-ReportPeriodicSCell-r15 is configured. Otherwise the field is not present."
DRB-Setup,The field is mandatory present if the corresponding DRB is being set up and the UE is connected to EPC; otherwise it is not present.
DRB-SetupM,"The field is:-mandatory present:-for the UE without SCG: upon setup of MCG DRB;-for E-UTRA DC, upon setup of MCG or split DRB;-for (NG)EN-DC:-upon setup of MCG RLC bearer;-optionally present, Need ON:-for E-UTRA DC, upon change from SCG to MCG DRB;-for (NG)EN-DC:-upon change of keyToUse, as defined in TS 38.331 [82], for a DRB configured with an MCG RLC bearer;-when configured with MCG RLC bearer, upon change of S-KgNB without handover;-not present otherwise."
DRB-SetupS,"The field is:-mandatory present:-for E-UTRA DC:-upon setup of SCG or split DRB;-upon change from MCG to split DRB;-for NE-DC:-upon setup of SCG RLC bearer;-optionally present, Need ON:-for E-UTRA DC, upon change from MCG to SCG DRB;-for NE-DC, upon change of keyToUse, as defined in TS 38.331 [82], for a DRB configured with an SCG RLC bearer;-not present otherwise."
HO-Conn,"The field is mandatory present in case of handover to E-UTRA or when the fullConfig is included in the RRCConnectionReconfiguration message or in case of RRC connection establishment (excluding RRCConnectionResume); otherwise the field is optionally present, need ON. Upon connection establishment/ re-establishment only SRB1 is applicable (excluding RRCConnectionResume)."
HO-toEUTRA,"The field is mandatory present-in case of handover to E-UTRA with the configuration for at least one MCG RLC bearer; or-when the fullConfig is included in the RRCConnectionReconfiguration message with the configuration for at least one MCG bearer or split data bearer;In case of RRC connection establishment (excluding RRCConnectionResume); and RRC connection re-establishment the field is not present; otherwise the field is optionally present, need ON."
HO-toEUTRA2,"The field is mandatory present in case of handover to E-UTRA or when the fullConfig is included in the RRCConnectionReconfiguration message; otherwise the field is optionally present, need ON."
LWIP,"The field is optionally present, Need ON, if drb-TypeLWIP-r13 is configured and not set to eutran; otherwise it is not present and the UE shall delete any existing value for this field."
DAPS,"This field is optionally present, Need ON,-in case of handover within E-UTRA when the fullConfig and the rach-Skip are not included in the RRCConnectionReconfiguration message; and-when the uplinkDataCompression and the ethernetHeaderCompression are not configured for the DRB; and-when SCell(s) and SCG are not configured; and-when the conditionalReconfiguration is not configured; and-when the RRCConnectionReconfiguration message is not included in a conditionalReconfiguration.Otherwise the field is not present."
NR-PDCP,"The field is optional present, Need ON, when the SRB is configured with NR-PDCP prior to reception of this reconfiguration message. Otherwise it is not present."
PDCP,"The field is mandatory present:- when connected to E-UTRA/EPC:- for the bearers configured with E-UTRA PDCP, if the corresponding DRB is being setup;the field is optionally present, need ON:- when connected to E-UTRA/EPC:- for the bearers configured with E-UTRA PDCP, upon reconfiguration of the corresponding split DRB or LWA DRB, upon the corresponding DRB type change from split to MCG bearer, upon the corresponding DRB type change from MCG to split bearer or LWA bearer, upon the corresponding DRB type change from LWA to LTE only bearer, upon handover within E-UTRA and upon the first reconfiguration after re-establishment but in all these cases only when fullConfig is not included in the RRCConnectionReconfiguration message;otherwise it is not present."
PDCP-S,"The field is mandatory present if the corresponding DRB is being setup; the field is optionally present, need ON, upon SCG change; otherwise it is not present."
RLC-Setup,"This field is optionally present if the corresponding DRB is being setup, need ON; otherwise it is not present."
SCellAdd,"The field is optionally present, need ON, upon SCell addition; otherwise it is not present."
Setup,"The field is mandatory present if the corresponding SRB/DRB is being setup; otherwise the field is optionally present, need ON."
SetupM,"The field is mandatory present upon setup of an MCG or split DRB, or upon setup of MCG RLC bearer; otherwise the field is optionally present, need ON."
SetupS,"The field is mandatory present:-for E-UTRA DC:-upon setup of an SCG or split DRB,-upon change from MCG to split DRB;-for NE-DC, upon setup of SCG RLC bearer;otherwise the field is optionally present, need ON."
SetupS2,"The field is:-mandatory present:-for E-UTRA DC:-upon setup of an SCG or split DRB, as well as upon change from MCG to split or SCG DRB.-optionally present, need ON:-for E-UTRA DC:-for an SCG DRBotherwise the field is not present."
Split-SRB1-SRB3,"This field is optionally present, Need ON, if the UE is configured with split SRB1 or SRB3. It is absent otherwise."
SPS,"The field is optionally present, need ON, if sps-Config (without suffix) is not configured; otherwise it is not present."
SPS2,"The field is optionally present, need ON, if sps-Config-r12 is not configured; otherwise it is not present."
UL-LWA,"The field is optionally present, need ON if ul-LWA-Config-r14 is present. Otherwise the field is not present."
