TDoc Number (RP-xxxxxx): CR Title,CR Number(s),CR Revision Number(s),Earliest Implementable Release,Additional Information
RP-181233: Successful acknowledgement of RRCConnectionRelease for BL and CE UE,3324,1,Release 13,"RRCConnectionRelease message, for which the poll bit is not set, can be considered succesfully acknowledged when UE has sent HARQ ACK feedback."
RP-182674: CR for T312 on LTE HetNet mobility,3506,5,Release 12,Remove T312 in leaving condition for event trigger.
RP-182671: Corrections on paging monitoring and SI acquisition in RRC_CONNECTED for BL UEs and UEs in CE,3647,2,Release 13,
RP-190548: Update description of ack-NACK-NumRepetitions,3899,2,Release 13,
RP-190548: Corrections of NB-IoT Access Barring,3900,2,Release 13,
RP-191382: SI update notification and access barring in NB-IoT,4020,2,Release 13,
RP-192195 : Correction on handling of SCell(s) during Make Before Break handover,3986,3,Release 14,
RP-192940: Stop using redirectedCarrierOffsetDedicated after reselection to another frequency,4144,1,Release 14,
RP-200338: Corrections to T312 and Discovery Signals measurement,4198,1,Release 12,
RP-200367: Correction on H1 and H2 events,4103,2,Release 15,
RP-201166: Allowing PDCP version change without handover,4262,2,Release 15,
RP-201166: upperLayerIndication enhancements,4266,3,Release 15,
RP-201192: Relaxed serving cell measurement for UEs using WUS,4344,-,Release 15,
"RP-202780: Corrections to the field descriptions for TDD/FDD capability differentiation, and to nMaxResource value range",4389,5,Release 12,"The CR corrects multiple UE capability field descriptions introduced in various releases, the changes are early implementable back to the release in which the corresponding capability was introduced."
RP-202789: Correction on uac-AC1-SelectAssistInfo,4488,2,Release 15,
RP-211481: Clarification on the initiation of RNA update,4651,1,Release 15,
RP-212596: Distinguishing support of extended band n77,4723,2,Release 15,
RP-220472: Introduction of carrier specific NRSRP thresholds for NPRACH resource selection,4777,1,Release 14,
RP-221738: Distinguishing support of band n77 restrictions in Canada,4799,2,Release 15,
RP-232570: Addition of extended number range for NS value,4917,6,Release 16,
RP-233884: Correction to flightPathInfoAvailable when connected to 5GC,4959,2,Release 15,
RP-233883: Protection against improper reselection to GERAN/UTRAN [RESELECTION_TO GSM_AND_UTRAN],4971,1,Release 15,
RP-233915: Introduction of measurements without gap with interruption,4929,6,Release 17,
RP-243230: Correction to NR Beam Reporting in LTE RRC,5069,2,Release 15,
RP-243233: Addition of reference to 38.304 for Qoffsettemp handling,5080,1,Release 15,
RP-243227: Introduction of network signalling of maximum number of UL segments [Max-RRC-SegUL],5083,1,Release 16,
RP-250660: Clarification on the mapping of RSRP thresholds to CE levels,5100,-,Release 13,
RP-252769: Correction on MBMS Interest Indication,5125,2,Release 15,
RP-252769: Clarification on UTC time offset in IoT NTN,5146,3,Release 17,
"NOTE 1:In case a CR has mirror CR(s), the mirror CR(s) are not listed.NOTE 2:The Additional Information column briefly describes the content of a CR in cases where the CR title may not be descriptive enough. If the CR title is descriptive enough, then the Additional Information column may be left blank.",,,,
