Parameter,Unit,Value,,Comment
,,Test 1,Test 2,
E-UTRA RF Channel Number,,1,,One E-UTRA radio channel is used for this test
NR RF Channel Number,,"2, 3, 4",,Three NR radio channels are used for this test
Active PCell,,Cell 1,,PCell on RF channel number 1.
Active PSCell,,Cell 2,,PSCell on RF channel number 2.
Active SCell,,Cell 3,,SCell on RF channel number 3.
Active SCell,,Cell 4,,SCell on RF channel number 4.
CP length,,Normal,,
DRX,,OFF,,
bwp-InactivityTimer,ms,200,,
Cell-individual offset for cells on RF channel number 1,dB,0,,Individual offset for cells on PCC.
Cell-individual offset for cells on RF channel number 2,dB,0,,Individual offset for cells on PSCC.
Cell-individual offset for cells on RF channel number 3,dB,0,,Individual offset for cells on SCC.
Cell 2 timing offset to Cell 1,s,3,,Synchronous EN-DC
Cell 3 timing offset to Cell 2,s,3,,Synchronous cells
Cell 4 timing offset to Cell 2,s,3,,Synchronous cells
OFDM symbol range in slot for transmission of DCI with dormancy indication,,0 – 2,3 – 11,
T1,s,0.2,,
T2,s,0.2,,
T3,s,0.2,,
