Parameter,Unit,Test configuration,Value,Comment
highSpeedMeasFlag-r16,,"1,2,3,4,5,6",Present,To enable high speed measurement enhancements
Active cell,,"1, 2, 3,4,5,6",E-UTRAN Cell 1 and NR Cell 2,
Neighbour cell,,"1, 2, 3,4,5,6",NR Cell 3,Cell to be identified.
RF Channel Number,,"1, 2, 3,4,5,6",1: Cell 12: Cell 2 and Cell 3,
SSB configuration,,"1,4",SSB.1 FR1,
,,"2,5",SSB.1 FR1,
,,"3,6",SSB.2 FR1,
SMTC configuration,,"1,4",SMTC.2,
,,"2,5",SMTC.1,
,,"3,6",SMTC.1,
A3-Offset,dB,"1, 2, 3,4,5,6",-4.5,
CP length,,"1, 2, 3,4,5,6",Normal,
Hysteresis,dB,"1, 2, 3,4,5,6",0,
Time To Trigger,s,"1, 2, 3,4,5,6",0,
Filter coefficient,,"1, 2, 3,4,5,6",0,L3 filtering is not used
DRX,,"1, 2, 3,4,5,6",DRX. 7.,640 ms DRX cycle
Time offset between PCell and PSCell,,"1, 2, 3,4,5,6",3 s,Synchronous EN-DC
Time offset between serving and neighbour cells,,"1,4",3 ms,Asynchronous cells.The timing of Cell 3 is 3 ms later than the timing of Cell 2.
,,"2,5",3 s,Synchronous cells
,,"3,6",3 s,Synchronous cells
T1,s,"1, 2, 3,4,5,6",5,
T2,s,"1, 2, 3,4,5,6",6,
