Parameter,,Unit,Cell 2
Frequency Range,,,FR1
Duplex mode,"Config 1,4",,FDD
,"Config 2,3,5,6",,TDD
TDD configuration,"Config 1,4",,Not Applicable
,"Config 2,5",,TDDConf.1.1
,"Config 3,6",,TDDConf.2.1
BWchannel,"Config 1,2,3,4,5,6",,Note 7
BWoccupied,"Config 1,2,4,5",RB,52 Note 5
,"Config 3,6",,106 Note 6
Active BWP ID,,,0
Initial DL BWP Configuration,"Config 1,2,3,4,5,6",,DLBWP.0.2
Active DL BWP-0 Configuration,"Config 1,2,3,4,5,6",,DLBWP.0.2
Active DL BWP-1 Configuration,"Config 1,2,3,4,5,6",,N.A.
Active DL BWP-2 Configuration,"Config 1,2,3,4,5,6",,N.A.
Initial UL BWP Configuration,"Config 1,2,3,4,5,6",,ULBWP.0.2
Active UL BWP-0 Configuration,"Config 1,2,3,4,5,6",,ULBWP.0.2
Active UL BWP-1 Configuration,"Config 1,2,3,4,5,6",,N.A.
Active UL BWP-2 Configuration,"Config 1,2,3,4,5,6",,N.A.
PDSCH Reference measurement channel,"Config 1,4",,SR.1.1 FDD
,"Config 2,5",,SR.1.1 TDD
,"Config 3,6",,SR.2.1 TDD
RMSI CORESET parameters,"Config 1,4",,CR.1.1 FDD
,"Config 2,5",,CR.1.1 TDD
,"Config 3,6",,CR.2.1 TDD
Dedicated CORESET parameters,"Config 1,4",,CCR.1.2 FDD
,"Config 2,5",,CCR.1.2 TDD
,"Config 3,6",,CCR.2.4 TDD
OCNG Patterns,"Config 1,2,4,5",,OP.1 Note 5
,"Config 3,6",,OP.1 Note 6
SSB Configuration,"Config 1,2,4,5",,SSB.1 FR1
,"Config 3,6",,SSB.2 FR1
SMTC Configuration,,,SMTC.1
TRS Configuration,"Config 1,4",,TRS.1.1 FDD
,"Config 2,5",,TRS.1.1 TDD
,"Config 3,6",,TRS.1.2 TDD
Antenna Configuration,,,1x2
Propagation Condition,,,AWGN
EPRE ratio of PSS to SSS,,dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH,,,
EPRE ratio of OCNG DMRS to SSS Note 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
NocNote 2,,dBm/15 kHz,-104
SS-RSRP Note 3,,dBm/15 kHz,-87
Ês/Iot,,dB,17
Ês/Noc,,dB,17
IoNote3,"Config 1,2,4,5",dBm/9.36 MHz,-58.96
,"Config 3,6",dBm/38.16 MHz,-52.86
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled within BWoccupied.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:For unpaired spectrum, a DL BWP is linked with an UL BWP. DLBWP.0.2 is linked with ULBWP.0.2; DLBWP.1.1 is linked with ULBWP.1.1; DLBWP.1.3 is linked with ULBWP.1.3 defined in clause 12 of TS 38.213 [3].NOTE 5:All UL/DL transmission shall be confined within BWoccupied (i.e. 10 MHz, 52 RBs) from FC,low, and Io is independent of the BWchannel configured.NOTE 6:All UL/DL transmission shall be confined within BWoccupied (i.e. 40 MHz, 106 RBs) from FC,low, and Io is independent of the BWchannel configured.NOTE 7:NRB,c. is derived from Table 5.3.2-1 in TS 38.101-1[18] with configured BWchannel.",,,
