Parameter,,Unit,Value,Comment
RF Channel Number,,,"1, 2",Two radio channels are used for this test. One for E-UTRA cell and second for NR Cell
Initial,Active PCell,,Cell 1,PCell on RF channel number 1.
,Neighbour cell,,Cell2,Neighbour cell on RF channel number 2.
Final,Active PCell,,Cell 1,PCell on RF channel number 1.
Condition,Neighbour Cell,,Cell2,PSCell released on RF channel number 2.
B1,Hysteresis,dB,0,Hysteresis for evaluation of event B1.
,Threshold RSRP,dBm,-93,Actual RSRP threshold for event B1. Needs to take absolute accuracy tolerance in clause 9.1.11.1 into account plus margin.
,Time to Trigger,S,0,
DRX,,,OFF,Continuous monitoring of primary cell
Measurement gap pattern Id,,,0,Gaps are configured before T2 and released before T3.
PRACH configuration on Cell 2,,,FR1 PRACH configuration 1,Captured in A.3.8.2.1
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on carrier frequency of Cell 2.
T1,,s,1,During this time the PCell shall be known and Cell 2 shall be unknown.
T2,,s,1.5,During this time the UE shall identify neighbour cell (Cell 2) and report event B1.
T3,,s,3,During this time the test system transmits the RRC messages to release measurement gap and add PSCell.
T4,,s,0.5,During this time the UE adds the PSCell.
T5,,s,0.5,During this time the UE sends CSI reports for PSCell.
T6,,s,0.5,During this time the UE releases the PSCell.
