Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2",E-UTRAN Cell 1 and NR Cell 2,
RF Channel Number,,"1, 2",1: Cell 12: Cell 2,
SSB configuration,,1,SSB.1 FR1,
,,2,SSB.2 FR1,
SMTC configuration,,1,SMTC.1,
,,2,SMTC.1,
CLI-RSSI configuration,,1,CLI-RSSIConf.1,Table A.4.6.5.2.2-3
,,2,CLI-RSSIConf.2,
CP length,,"1, 2",Normal,
i1-Threshold,dBm,1,-93,
,,2,-93,
Hysteresis,dB,"1, 2",0,
Time To Trigger,s,"1, 2",0,
Filter coefficient,,"1, 2",0,L3 filtering is not used
DRX,,"1, 2",OFF,Non-DRX
Time offset between DL from serving cell and OCNG from test system,s,"1,2",17.67,
T1,s,"1, 2",5,
T2,s,"1, 2",1,
