Parameter,Unit,Value,,Comment
,,Test1,Test2,
E-UTRA RF Channel Number,,1,,One E-UTRA radio channel is used for this test
NR RF Channel Number,,"2, 3",,Two NR radio channel is used for this test
Active PCell,,Cell 1,,PCell on RF channel number 1.
Active PSCell,,Cell 2,,PSCell on RF channel number 2.
Active SCell,,Cell 3,,SCell on RF channel number 3.
CP length,,Normal,,
"CSI reporting periodicity, Non-dormant BWP",ms,2,,CSI reporting periodicity for periodic reporting of CQI for PCell and non-dormant SCells
"CSI reporting periodicity, Dormant BWP",ms,40,,CSI reporting periodicity for periodic reporting of CQI for dormant SCells
ps-Offset,,Depending on UE capability,,"Monitoring of DCI 2_6 ahead of start of drx-onDurationTimer. Value of ps-Offset shall correspond to SCell dormancy switching time for switching of two SCells, as specified in clause 8.6.2A. Actual value depends on reported UE capabilities."
ps-WakeUp,,true,,Wake up for onDuration in case DCI format 2_6 is not detected.
DRX,,DRX.1,,
'bwp-InactivityTimer,ms,200,,
Cell-individual offset for cells on RF channel number 1,dB,0,,Individual offset for cells on PCC.
Cell-individual offset for cells on RF channel number 2,dB,0,,Individual offset for cells on PSCC.
Cell-individual offset for cells on RF channel number 3,dB,0,,Individual offset for cells on SCC.
Cell2 timing offset to Cell 1,s,3,,Synchronous EN-DC
Cell 3 timing offset to Cell 2,s,3,,Synchronous cells
Number of CSI-RS ports,,4,,The number of CSI-RS ports in a single resource without CRI report
OFDM symbol range in slot for transmission of DCI with dormancy indication,,0 – 2,3 – 11,Test1 is based on that triggering DCI is received within the first three OFDM symbols of a slot. Test2 is based on that the triggering DCI is received later than within the first three OFDM symbols of a slot.
T1,s,10,,
T2,s,0.2,,
T3,s,0.2,,
T4,s,10,,
