Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,1,One E-UTRA radio channel is used for this test
NR RF Channel Number,,"2, 3",Two NR radio channel is used for this test
Active PCell,,Cell 1,PCell on RF channel number 1.
Active PSCell,,Cell 2,PSCell on RF channel number 2.
Active SCell,,Cell 3,SCell on RF channel number 3.
CP length,,Normal,
DRX,,OFF,
bwp-InactivityTimer,ms,200,
PDCCH and PDSCH maximum number of HARQ transmission,,1,"For PCell, PSCell and SCell"
Cell-individual offset for cells on RF channel number 1,dB,0,Individual offset for cells on PCC.
Cell-individual offset for cells on RF channel number 2,dB,0,Individual offset for cells on PSCC.
Cell-individual offset for cells on RF channel number 3,dB,0,Individual offset for cells on SCC.
Cell 2 timing offset to Cell 1,s,3,Synchronous EN-DC
Cell 3 timing offset to Cell 2,s,3,Synchronous cells
T1,s,0.2,
T2,s,0.2,
T3,s,0.2,
