Parameter,Unit,Test configuration,Cell 2,,Cell 3,,
,,,T1,T2,T1,T2,
TDD configuration,,"1,4",N/A,,N/A,,
,,"2,5",TDDConf.1.1,,TDDConf.1.1,,
,,"3,6",TDDConf.2.1,,TDDConf.2.1,,
PDSCH RMC configuration,,"1,4",SR.1.1 FDD,,N/A,,
,,"2,5",SR.1.1 TDD,,,,
,,"3,6",SR.2.1 TDD,,,,
RMSI CORESET RMC configuration,,"1,4",CR.1.1 FDD,,CR.1.1 FDD,,
,,"2,5",CR.1.1 TDD,,CR.1.1 TDD,,
,,"3,6",CR.2.1 TDD,,CR.2.1 TDD,,
Dedicated CORESET RMC configuration,,"1,4",CCR.1.1 FDD,,CCR.1.1 FDD,,
,,"2,5",CCR.1.1 TDD,,CCR.1.1 TDD,,
,,"3,6",CCR.2.1 TDD,,CCR.2.1 TDD,,
OCNG Patterns,,"1, 2, 3,4,5,6",OP.1,,OP.1,,
TRS configuration,,"1,4",TRS.1.1 FDD,,N/A,,
,,"2,5",TRS.1.1 TDD,,N/A,,
,,"3,6",TRS.1.2 TDD,,N/A,,
Initial BWP configuration,,"1, 2, 3,4,5,6",DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,,
Active DL BWP configuration,,"1, 2, 3,4,5,6",DLBWP.1.1,,DLBWP.1.1,,
Active UL BWP configuration,,"1, 2, 3,4,5,6",ULBWP.1.1,,ULBWP.1.1,,
RLM-RS,,"1, 2, 3,4,5,6",SSB,,SSB,,
Note 2,dBm/SCS,"1,4",-98,,,,
,,"2,5",-98,,,,
,,"3,6",-95,,,,
Note 2,dBm/15 kHz,"1,4",-98,,,,
,,"2,5",,,,,
,,"3,6",,,,,
,dB,"1,4",4,-1.46,-Infinity,-1.46,
,,"2,5",,,,,
,,"3,6",,,,,
,dB,"1,4",4,4,-Infinity,4,
,,"2,5",,,,,
,,"3,6",,,,,
SS-RSRP Note 3,dBm/SCS kHz,"1,4",-94,-94,-Infinity,-94,
,,"2,5",-94,-94,-Infinity,-94,
,,"3,6",-91,-91,-Infinity,-91,
Io,dBm/9.36 MHz,"1,4",-64.60,-62.25,-64.60,-62.25,
,dBm/9.36 MHz,"2,5",-64.60,-62.25,-64.60,-62.25,
,dBm/38.16 MHz,"3,6",-58.50,-56.16,-58.50,-56.16,
Propagation Condition,,"1, 2,4,5",AWGN,,AWGN 1944 Hz Note 4,,
,,"3,6",AWGN,,AWGN 3334 Hz Note 5,,
NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:The AWGN 1944 Hz condition is a non fading propagation channel with one tap. Doppler shift is a constant 1944 Hz.NOTE 5:The AWGN 3334 Hz condition is a non fading propagation channel with one tap. Doppler shift is a constant 3334 Hz.,,,,,,,
