Parameter,Unit,Test,Cell 2,,Cell 3,
,,configuration,T1,T2,T1,T2
TDD configuration,,"1, 2",N/A,,N/A,
PDSCH RMC configuration,,"1, 2",SR.1.1 FDD,,N/A,
RMSI CORESET RMC configuration,,"1, 2",CR.1.1 FDD,,N/A,
Dedicated CORESET RMC configuration,,"1, 2",CCR.1.2 FDD,,N/A,
OCNG Patterns,,"1, 2",OP.1,,OP.1,
TRS configuration,,"1, 2",TRS.1.1 FDD,,N/A,
Initial BWP configuration,,"1, 2",DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Active DL BWP configuration,,"1, 2",DLBWP.1.2,,DLBWP.1.1,
Active UL BWP configuration,,"1, 2",ULBWP.1.2,,ULBWP.1.1,
RLM-RS,,"1, 2",CSI-RS,,SSB,
Note 2,dBm/SCS,"1, 2",-98,,,
Note 2,dBm/15 kHz,"1, 2",-98,,,
,dB,"1, 2",4,-1.46,-Infinity,-1.46
,dB,"1, 2",4,4,-Infinity,4
SS-RSRP Note 3,dBm/SCS,"1, 2",-94,-94,-Infinity,-94
Io,dBm/9.36 MHz,"1, 2",-64.60,-62.25,-64.60,-62.25
Propagation Condition,,"1, 2",AWGN,,,
NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,
