Parameter,Unit,Test,Value,,Comment
,,configuration,Test 1,Test 2,
Active cell,,"1, 2, 3, 4, 5, 6",E-UTRAN Cell 1 and NR Cell 2,,
Neighbour cell,,"1, 2, 3, 4, 5, 6",NR Cell 3,,Cell to be identified.
RF Channel Number,,"1, 2, 3, 4, 5, 6",1: Cell 12: Cell 2 and Cell 3,,
Measurement gap type,,"1, 2, 3, 4, 5, 6",Per-UE gaps,,
Measurement gap repitition periodicity,ms,"1, 2, 3, 4, 5, 6",40,,
Measurement gap length,ms,"1, 2, 3, 4, 5, 6",6,,
Measurement gap offset,ms,"1, 2, 3, 4, 5, 6",39,,
SSB configuration,,"1, 4",SSB.1 FR1,,
,,"2, 5",SSB.1 FR1,,
,,"3, 6",SSB.2 FR1,,
SMTC configuration,,"1, 4",SMTC.2,,
,,"2, 5",SMTC.1,,
,,"3, 6",SMTC.1,,
CSI-RS parameters,,"1, 4",CSI-RS.1.2 FDD resource #0,,
,,"2, 5",CSI-RS.1.2 TDD resource #0,,
,,"3, 6",CSI-RS.2.2 TDD resource #0,,
A3-Offset,dB,"1, 2, 3, 4, 5, 6",-4.5,,
CP length,,"1, 2, 3, 4, 5, 6",Normal,,
Hysteresis,dB,"1, 2, 3, 4, 5, 6",0,,
Time To Trigger,s,"1, 2, 3, 4, 5, 6",0,,
Filter coefficient,,"1, 2, 3, 4, 5, 6",0,,L3 filtering is not used
DRX,,"1, 2, 3, 4, 5, 6",DRX.1,DRX. 7,
Time offset between PCell and PSCell,,"1, 2, 3, 4, 5, 6",3 s,,Synchronous EN-DC
Time offset between serving and neighbour cells,,"1, 4",3 ms,,Asynchronous cells.The timing of Cell 3 is 3 ms later than the timing of Cell 2.
,,"2, 5",3 s,,Synchronous cells
,,"3, 6",3 s,,Synchronous cells
T1,s,"1, 2, 3, 4, 5, 6",5,,
T2,s,"1, 2, 3, 4, 5, 6",5,10,
