Configuration,PSCell (Cell 2),SCell (Cell 3)
1,"15 kHz SSB SCS, ≥10 MHz bandwidth, FDD duplex mode","DL and UL: 15 kHz SSB SCS, ≥10 MHz bandwidth, FDD duplex mode;SUL: 15 kHz SCS, ≥10 MHz bandwidth, SUL duplex mode"
2,"15 kHz SSB SCS, ≥10 MHz bandwidth, FDD duplex mode","DL and UL: 15 kHz SSB SCS, ≥10 MHz bandwidth, TDD duplex mode;SUL: 15 kHz SCS, ≥10 MHz bandwidth, SUL duplex mode"
3,"15 kHz SSB SCS, ≥10 MHz bandwidth, FDD duplex mode","DL and UL: 30 kHz SSB SCS, ≥40 MHz bandwidth, TDD duplex mode;SUL: 30 kHz SCS, ≥40 MHz bandwidth, SUL duplex mode"
4,"15 kHz SSB SCS, ≥10 MHz bandwidth, TDD duplex mode","DL and UL: 15 kHz SSB SCS, ≥10 MHz bandwidth, FDD duplex mode;SUL: 15 kHz SCS, ≥10 MHz bandwidth, SUL duplex mode"
5,"15 kHz SSB SCS, ≥10 MHz bandwidth, TDD duplex mode","DL and UL: 15 kHz SSB SCS, ≥10 MHz bandwidth, TDD duplex mode;SUL: 15 kHz SCS, ≥10 MHz bandwidth, SUL duplex mode"
6,"15 kHz SSB SCS, ≥10 MHz bandwidth, TDD duplex mode","DL and UL: 30 kHz SSB SCS, ≥40 MHz bandwidth, TDD duplex mode;SUL: 30 kHz SCS, ≥40 MHz bandwidth, SUL duplex mode"
7,"30 kHz SSB SCS, ≥40 MHz bandwidth, TDD duplex mode","DL and UL: 15 kHz SSB SCS, ≥10 MHz bandwidth, FDD duplex mode;SUL: 15 kHz SCS, ≥10 MHz bandwidth, SUL duplex mode"
8,"30 kHz SSB SCS, ≥40 MHz bandwidth, TDD duplex mode","DL and UL: 15 kHz SSB SCS, ≥10 MHz bandwidth, TDD duplex mode;SUL: 15 kHz SCS, ≥10 MHz bandwidth, SUL duplex mode"
9,"30 kHz SSB SCS, ≥40 MHz bandwidth, TDD duplex mode","DL and UL: 30 kHz SSB SCS, ≥40 MHz bandwidth, TDD duplex mode;SUL: 30 kHz SCS, ≥40 MHz bandwidth, SUL duplex mode"
"NOTE 1:The UE is only required to be tested in one of the supported test configurationsNOTE 2:The UE is only required to be tested in one with smallest aggregated channel bandwidth from supported band combinations which is composed of CCs ≥ the bandwidth (BWchannel) defined in each test configuration,",,
