Parameter,,Unit,Test configuration,Serving cell 1,,"Serving cell 2,3",,Neighbour Cell 4,
,,,,T1,T2,T1,T2,T1,T2
TDD configuration,,,Config 1,Not Applicable,,Not Applicable,,Not Applicable,
BWchannel,,MHz,Config 1,,,"10: NPRB,c = 52",,"10: NPRB,c = 52",
Data PRBs allocated,,,Config 1,,,52,,52,
BWP BW,,MHz,Config 1,,,52,,52,
BWP configuration,Initial DL BWP,,Config 1,,,DLBWP.0.1,,N/A,
,Initial UL BWP,,,,,ULBWP.0.1,,N/A,
,Dedicated DL BWP,,,,,DLBWP.1.1,,N/A,
,Dedicated UL BWP,,,,,ULBWP.1.1,,N/A,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,,Config 1,,,OP.1,,OP.1,
PDSCH Reference,,,Config 1,,,SR.1.1 TDD,,-,
measurement channel,,,,,,,,,
,,,,,,,,,
RMSI CORESET Reference,,,Config 1,,,CR.1.1 TDD,,-,
Channel,,,,,,,,,
,,,,,,,,,
Dedicated CORESET RMC configuration,,,Config 1,,,CCR.1.1 TDD,,-,
,,,,,,,,,
,,,,,,,,,
SMTC configuration defined,,,Config 1,,,SMTC.2,,SMTC.5,
in A.3.11.1 and A.3.11.2,,,,,,,,,
PDSCH/PDCCH subcarrier spacing,,kHz,Config 1,,,15,,15,
,,,,,,,,,
EPRE ratio of PSS to SSS,,,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,Config 1,,,0,,0,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,
Noc,,dBm/SCS,Config 1,,,-98,,,
Ês,,dBm/SCS,Config 1,,,-94,,-Infinity,-91
SSB_RP Note 3,,dBm/SCS,Config 1,,,-94,,-Infinity,-91
,,dB,Config 1,,,4,,-Infinity,7
Ês /Noc,,dB,Config 1,,,4,,-Infinity,7
Io,,dBm/9.36 MHz,Config 1,,,-64.60,,-Infinity,-61.26
Propagation Condition,,,Config 1,,,AWGN,,AWGN,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:VoidNOTE 3:SS B_RP, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:VoidNOTE 5:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 6:As observed with 0 dBi gain antenna at the centre of the quiet zoneNOTE 7:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,,,,
