Parameter,Unit,Value,Comment
RF Channel Number,,"1,2,3","One E-UTRAN radio channel (1) and two NR radio channel (2,3) are used for this test"
Active PCell,,Cell 1,Primary cell on E-UTRAN RF channel number 1.As specified in clause A.3.7.2.1
Active PSCell,,Cell 2,Primary secondary cell on NR RF channel number 2.
Configured deactivated SCell,,Cell 3,Configured deactivated secondary cell on NR RF channel number 3
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
Cell-individual offset for cells on E-UTRA RF channel number,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on NR channel number,dB,0,Individual offset for cells on secondary component carrier.
SCell measurement cycle (measCycleSCell),ms,160,
Cell 3 timing offset to Cell 2,s,0,
Time alignment error between Cell 3 and Cell 2,s,Time alignment error as specified in TS 38.104 [13] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
T1,s,7,During this time the PSCell shall be known and the SCell configured and detected.
T2,s,1,During this time the UE shall activate the SCell.
A3-offset,dB,-15,
THARQ,ms,k1NR slot length,"k1 is a number of slots indicated by the PDSCH-to-HARQ feedback timing indicator field in a corresponding DCI format or provided by dl-DataToUL-ACK if the PDSCH-to-HARQ feedback timing field is not present in the DCI format, the value is defined in TS 38.213 [3]"
TCSI_Reporting,ms,15,"the delay (in ms) including uncertainty in acquiring the first available downlink CSI reference resource, UE processing time for CSI reporting (clause 5.2.2.5 in TS 38.214 [26]) and uncertainty in acquiring the first available CSI reporting resources as specified in TS 38.331 [2]"
k,slot,,As specified in clause 4.3 of TS 38.213 [3]
