Parameter,Unit,Test,Cell 2,,,,Cell 3,,,
,,configuration,T1,T2,T3,,T1,T2,T3,
Duplex mode,,"Config 1,4",FDD,,,,,,,
,,"Config 2,3,5,6",TDD,,,,,,,
BWchannel,MHz,"Config 1,4","10: NRB,c = 52",,,,,,,
,,"Config 2,5","10: NRB,c = 52",,,,,,,
,,"Config 3,6","40: NRB,c = 106",,,,,,,
BWP BW,MHz,"Config 1,4","10: NRB,c = 52",,,,,,,
,,"Config 2,5","10: NRB,c = 52",,,,,,,
,,"Config 3,6","40: NRB,c = 106",,,,,,,
TDD configuration,,"Config 1,4",N/A,,,,N/A,,,
,,"Config 2,5",TDDConf.1.1,,,,TDDConf.1.1,,,
,,"Config 3,6",TDDConf.2.1,,,,TDDConf.2.1,,,
Initial DL BWP,,"Config 1,2,3,4,5,6",DLBWP.0.1,,,,NA,,,
Initial UL BWP,,"Config 1,2,3,4,5,6",ULBWP.0.1,,,,NA,,,
Dedicated DL BWP,,"Config 1,2,3,4,5,6",DLBWP.1.1,,,,NA,,,
Dedicated UL BWP,,"Config 1,2,3,4,5,6",ULBWP.1.1,,,,NA,,,
TRS configuration,,"Config 1,4",TRS.1.1 FDD,,,,NA,,,
,,"Config 2,5",TRS.1.1 TDD,,,,,,,
,,"Config 3,6",TRS.1.2 TDD,,,,,,,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,"Config 1,2,3,4,5,6",OP.1,,,,OP.1,,,
PDSCH Reference,,"Config 1,4",SR.1.1 FDD,,,,NA,,,
measurement channel,,"Config 2,5",SR.1.1 TDD,,,,,,,
,,"Config 3,6",SR.2.1 TDD,,,,,,,
RMSI CORESET Reference Channel,,"Config 1,4",CR.1.1 FDD,,,,NA,,,
,,"Config 2,5",CR.1.1 TDD,,,,NA,,,
,,"Config 3,6",CR.2.1 TDD,,,,NA,,,
RMC CORESETReference Channel,,"Config 1, 4",CCR.1.1 FDD,,,,NA,,,
,,"Config 2, 5",CCR.1.1 TDD,,,,NA,,,
,,"Config 3, 6",CCR.2.1 TDD,,,,NA,,,
SSB parameters,,"Config 1,2,4,5",SSB.1 FR1,,,,,,,
,,"Config 3,6",SSB.2 FR1,,,,,,,
SMTC configuration,,"Config 1,4",SMTC.2,,,,,,,
defined in A.3.11,,"Config 2,3,5,6",SMTC.1,,,,,,,
RMSI scheduling periodicity,ms,"Config 1,2,3,4,5,6",20ms,,,,,,,
PDSCH/PDCCH,kHz,"Config 1,2,4,5",15,,,,,,,
subcarrier spacing,,"Config 3,6",30,,,,,,,
RLM-RS,,"Config 1,2,3,4,5,6",SSB,,,,SSB,,,
EPRE ratio of PSS to SSS,,,0,,,,0,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,"Config 1,2,3,4,5,6",,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,,
Note2,dBm/15kHz,,-98,,,,-98,,,
Note2,dBm/SCS,"Config 1,2,4,5",-98,,,,-98,,,
,,"Config 3,6",-95,,,,-95,,,
SS-RSRP Note 3,dBm/SCS,"Config 1,2,4,5",-94,-94,,-94,-Infinity,-94,,-94
,,"Config 3,6",-91,-91,,-91,-Infinity,-91,,-91
,dB,"Config 1,2,3,4,5,6",4,-1.46,,-1.46,-Infinity,-1.46,,-1.46
,dB,"Config 1,2,3,4,5,6",4,4,,4,-Infinity,4,,4
IoNote3,dBm/9.36MHz,"Config 1,2,4,5",-64.60,-62.25,,-62.25,-64.60,-62.25,,-62.25
,dBm/38.16MHz,"Config 3,6",-58.50,-56.16,,-56.16,-58.50,-56.16,,-56.16
Propagation Condition,,"Config 1,2,3,4,5,6",AWGN,,,,,,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.,,,,,,,,,,
