Parameter,Unit,Test,Cell 2,,,Cell 3,,Cell 4,
,,configuration,T1,T2,,T1,T2,T1,T2
NR RF Channel Number,,"Config 1,2,3,4,5,6,1A,2A,3A",1,,,2,,2,
Duplex mode,,"Config 1,4,1A",FDD,,,,,FDD,
,,"Config 2,3,5,6,2A,3A",TDD,,,,,TDD,
BWchannel,MHz,"Config 1,4,1A","10: NRB,c = 52",,,,,"10: NRB,c = 52",
,,"Config 2,5,2A","10: NRB,c = 52",,,,,"10: NRB,c = 52",
,,"Config 3,6,3A","40: NRB,c = 106",,,,,"40: NRB,c = 106",
BWP BW,MHz,"Config 1,4,1A","10: NRB,c = 52",,,,,"10: NRB,c = 52",
,,"Config 2,5,2A","10: NRB,c = 52",,,,,"10: NRB,c = 52",
,,"Config 3,6,3A","40: NRB,c = 106",,,,,"40: NRB,c = 106",
TDD configuration,,"Config 2,5,2A",TDDConf.1.1,,,TDDConf.1.1,,TDDConf.1.1,
,,"Config 3,6,3A",TDDConf.2.1,,,TDDConf.2.1,,TDDConf.2.1,
Initial DL BWP,,"Config 1,2,3,4,5,6,1A,2A,3A",DLBWP.0.1,,,DLBWP.0.1,,DLBWP.0.1,
Initial UL BWP,,"Config 1,2,3,4,5,6,1A,2A,3A",ULBWP.0.1,,,NA,,NA,
Dedicated DL BWP,,"Config 1,2,3,4,5,6,1A,2A,3A",DLBWP.1.1,,,DLBWP.1.1,,DLBWP.1.1,
Dedicated UL BWP,,"Config 1,2,3,4,5,6,1A,2A,3A",ULBWP.1.1,,,NA,,NA,
TRS configuration,,"Config 1,4,1A",TRS.1.1 FDD,,,NA,,NA,
,,"Config 2,5,2A",TRS.1.1 TDD,,,NA,,NA,
,,"Config 3,6,3A",TRS.1.2 TDD,,,NA,,NA,
OCNG Patterns,,"Config 1,2,3,4,5,6, ,1A,2A,3A",OP.1,,,OP.1,,OP.1,
PDSCH Reference,,"Config 1,4,1A",SR.1.1 FDD,,,SR.1.1 FDD,,SR.1.1 FDD,
measurement channel,,"Config 2,5,2A",SR.1.1 TDD,,,SR.1.1 TDD,,SR.1.1 TDD,
,,"Config 3,6,3A",SR2.1 TDD,,,SR2.1 TDD,,SR2.1 TDD,
RMSI CORESET Reference,,"Config 1,4,1A",CR.1.1 FDD,,,CR.1.1 FDD,,CR.1.1 FDD,
Channel,,"Config 2,5,2A",CR.1.1 TDD,,,CR.1.1 TDD,,CR.1.1 TDD,
,,"Config 3,6,3A",CR2.1 TDD,,,CR2.1 TDD,,CR2.1 TDD,
Dedicated CORESET Reference Channel,,"Config 1,4,1A",CCR.1.1 FDD,,,CCR.1.1 FDD,,CCR.1.1 FDD,
,,"Config 2,5,2A",CCR.1.1 TDD,,,CCR.1.1 TDD,,CCR.1.1 TDD,
,,"Config 3,6,3A",CCR.2.1 TDD,,,CCR.2.1 TDD,,CCR.2.1 TDD,
SSB parameters,,"Config 1,4,1A",SSB.1 FR1,,,SSB.5 FR1,,SSB.5 FR1,
,,"Config 2,5,2A",SSB.1 FR1,,,SSB.5 FR1,,SSB.5 FR1,
,,"Config 3,6,3A",SSB.2 FR1,,,SSB.6 FR1,,SSB.6 FR1,
SMTC configuration,,"Config 1,4,1A",SMTC.2,,,SMTC.5,,SMTC.5,
,,"Config 2,3,5,6,2A,3A",SMTC.1,,,SMTC.4,,SMTC.4,
PDSCH/PDCCH,kHz,"Config 1,2,4,5,1A,2A",15,,,,,,
subcarrier spacing,,"Config 3,6,3A",30,,,,,,
EPRE ratio of PSS to SSS,,,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,"Config 1,2,3,4,5,6,1A,2A,3A",0,,,0,,0,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,
Note2,dBm/15 kHz,,-98,,,-98,,-98,
Note2,dBm/SCS,"Config 1,2,4,5,1A,2A",-98,,,-98,,-98,
,,"Config 3,6,3A",-95,,,-95,,-95,
SS-RSRP Note 3,dBm/SCS,"Config 1,2,4,5,1A,2A",-94,,-94,-94,-94,-Infinity,-94
,,"Config 3,6,3A",-91,,-91,-91,-91,-Infinity,-91
,dB,"Config 1,2,3,4,5,6,1A,2A,3A",4,,4,4,-1.46,-Infinity,-1.46
,dB,"Config 1,2,3,4,5,6,1A,2A,3A",4,,4,4,4,-Infinity,4
IoNote3,dBm/9.36 MHz,"Config 1,2,4,5,1A,2A",-64.59,,-64.59,-64.59,-62.26,-64.59,-62.26
,dBm/38.16 MHz,"Config 3,6,3A",-58.49,,-58.49,-58.49,-56.15,-58.49,-56.15
Propagation Condition,,"Config 1,2,4,5,1A,2A",AWGN,,,AWGN,,AWGN 1944 Hz Note 5,
,,"Config 3,6,3A",AWGN,,,AWGN,,AWGN 3334 Hz Note 6,
